Instance	Generations	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	1	109	110	110	110	109	109	109	109
1	10	109	109	109	109	108	108	109	109
1	100	107	107	107	107	107	106	107	108
1	1000	107	106	107	107	106	106	106	108
1	10000	106	106	106	106	105	105	106	107
2	1	110	110	110	110	109	109	110	109
2	10	109	109	109	109	109	108	109	109
2	100	108	107	107	106	107	107	108	107
2	1000	107	107	106	106	106	106	105	107
2	10000	106	106	105	106	106	106	105	107
3	1	109	109	109	110	109	109	109	110
3	10	108	108	109	109	109	108	108	109
3	100	107	106	106	107	107	107	107	107
3	1000	105	106	106	106	106	106	105	107
3	10000	105	106	106	105	105	105	105	106
4	1	110	110	110	109	110	110	110	109
4	10	109	109	109	109	109	109	109	109
4	100	108	107	107	107	107	107	107	108
4	1000	107	107	107	107	106	106	106	108
4	10000	106	106	106	106	106	105	106	107
5	1	109	109	109	110	110	109	110	109
5	10	108	109	108	109	109	108	109	109
5	100	106	107	107	107	107	107	107	108
5	1000	106	107	107	105	106	106	105	107
5	10000	106	106	105	105	105	106	105	107
6	1	110	110	109	109	110	110	110	110
6	10	109	109	109	109	109	109	109	109
6	100	108	108	107	107	107	108	108	108
6	1000	106	106	106	107	106	106	106	108
6	10000	106	105	106	106	105	105	105	106
7	1	109	109	109	110	110	110	109	110
7	10	108	109	108	109	109	108	107	108
7	100	107	107	107	107	108	107	107	108
7	1000	106	106	107	106	106	106	106	107
7	10000	106	106	105	106	106	105	105	107
8	1	109	109	110	109	109	110	110	109
8	10	108	109	109	107	108	108	108	109
8	100	107	108	107	106	107	107	107	108
8	1000	107	107	105	106	106	106	106	107
8	10000	106	106	105	105	105	106	106	107
9	1	110	110	110	110	109	110	110	109
9	10	109	110	109	109	109	109	109	108
9	100	108	108	108	107	106	107	107	108
9	1000	107	106	106	107	106	106	106	108
9	10000	106	106	106	106	106	106	105	106
10	1	109	109	109	110	110	109	110	109
10	10	109	108	109	109	109	108	109	108
10	100	107	107	106	106	107	107	107	107
10	1000	107	107	106	106	107	106	106	107
10	10000	106	106	105	106	105	106	105	106
11	1	109	110	109	110	110	109	110	110
11	10	109	109	108	109	109	109	109	109
11	100	108	108	107	107	108	108	107	108
11	1000	107	106	106	107	106	106	106	108
11	10000	106	106	106	106	106	105	106	106
12	1	110	110	110	109	109	109	109	110
12	10	109	107	109	108	109	108	108	110
12	100	107	107	106	107	107	107	106	108
12	1000	106	106	106	106	106	105	106	107
12	10000	106	106	106	105	106	105	105	107
13	1	109	109	110	110	110	109	110	109
13	10	109	108	109	109	109	109	109	109
13	100	108	106	107	107	108	107	107	107
13	1000	107	106	106	107	106	106	106	107
13	10000	106	106	106	105	105	106	105	106
14	1	109	110	109	110	109	109	109	109
14	10	108	109	108	109	109	109	109	108
