Instance	Generations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	1	1182	1170	1184	1169	1174	1174	1182	1187	1177	1188
1	10	1096	1097	1100	1098	1102	1109	1118	1110	1130	1142
1	100	980	988	987	960	969	959	959	1072	1064	1067
1	1000	912	923	904	893	907	916	915	1030	1027	1023
1	10000	884	896	875	885	887	899	883	1019	1023	1010
2	1	1189	1185	1178	1183	1174	1174	1183	1182	1171	1173
2	10	1103	1094	1092	1104	1095	1107	1107	1161	1121	1132
2	100	984	973	982	977	978	970	952	1110	1062	1062
2	1000	912	925	925	903	901	889	901	1062	1022	1010
2	10000	885	895	909	890	885	888	878	1027	991	986
3	1	1178	1181	1178	1160	1194	1183	1172	1183	1185	1181
3	10	1099	1104	1110	1097	1120	1108	1100	1142	1149	1132
3	100	984	990	969	971	962	951	958	1078	1076	1063
3	1000	916	926	909	921	898	882	910	1055	1017	1019
3	10000	878	902	905	884	884	865	901	1032	985	995
4	1	1171	1183	1178	1164	1180	1184	1192	1180	1172	1179
4	10	1096	1113	1100	1099	1098	1111	1116	1125	1138	1128
4	100	965	1001	977	967	958	967	952	1072	1078	1046
4	1000	910	917	919	908	901	911	900	1053	1020	1012
4	10000	897	900	883	888	895	882	883	1044	1012	992
5	1	1175	1169	1185	1191	1182	1179	1185	1173	1188	1176
5	10	1098	1094	1100	1111	1093	1101	1114	1148	1128	1120
5	100	983	966	989	970	947	963	965	1092	1059	1055
5	1000	921	918	902	896	891	889	897	1056	1024	1032
5	10000	887	902	878	891	870	882	883	1031	1007	1012
6	1	1190	1184	1181	1167	1180	1180	1186	1160	1178	1187
6	10	1104	1095	1102	1101	1093	1114	1107	1129	1140	1142
6	100	962	985	982	969	962	965	954	1071	1071	1073
6	1000	908	918	913	914	892	914	891	1044	1036	1008
6	10000	891	878	891	903	879	872	880	1023	1014	989
7	1	1183	1180	1176	1181	1187	1197	1187	1179	1167	1163
7	10	1111	1116	1108	1105	1108	1118	1109	1147	1122	1110
7	100	986	980	964	974	941	964	962	1089	1058	1053
7	1000	913	923	916	929	897	896	912	1054	1018	995
7	10000	886	892	885	881	873	875	898	1035	1003	982
8	1	1183	1177	1188	1187	1188	1179	1180	1187	1177	1191
8	10	1102	1090	1108	1103	1116	1102	1119	1142	1121	1134
8	100	999	983	973	980	967	970	955	1090	1059	1051
8	1000	910	912	900	908	893	901	881	1054	1019	1012
8	10000	894	884	874	900	878	885	864	1025	1004	984
9	1	1179	1181	1181	1181	1188	1185	1185	1184	1183	1194
9	10	1099	1101	1104	1103	1104	1112	1116	1146	1141	1131
9	100	979	972	978	955	954	966	943	1067	1054	1052
9	1000	924	916	915	908	891	893	901	1046	1007	1016
9	10000	896	893	891	885	869	880	887	1024	989	1013
10	1	1183	1180	1184	1178	1178	1192	1192	1164	1185	1182
10	10	1100	1106	1116	1088	1099	1111	1112	1143	1151	1123
10	100	986	984	988	979	975	957	953	1097	1046	1039
10	1000	913	922	923	893	921	911	887	1051	1012	1006
10	10000	886	897	903	881	894	878	866	1027	1003	985
11	1	1184	1177	1186	1158	1171	1186	1187	1187	1171	1163
11	10	1116	1101	1105	1089	1086	1120	1116	1143	1125	1135
11	100	998	981	975	962	958	977	954	1086	1050	1059
11	1000	909	905	910	912	914	920	887	1044	1029	1013
11	10000	896	881	869	881	882	883	884	1031	1013	986
12	1	1190	1179	1191	1188	1183	1176	1181	1194	1172	1181
12	10	1107	1099	1105	1101	1094	1115	1106	1141	1121	1132
12	100	982	993	982	957	958	971	958	1087	1066	1056
12	1000	910	908	913	901	905	902	913	1068	1040	1015
12	10000	889	892	901	887	888	895	887	1035	1015	995
13	1	1170	1188	1180	1190	1181	1182	1170	1178	1182	1173
13	10	1094	1108	1099	1108	1107	1114	1109	1150	1138	1138
13	100	980	982	969	973	962	950	954	1075	1068	1065
13	1000	927	900	926	915	905	898	909	1050	1037	997
13	10000	888	896	910	888	891	884	890	1037	1004	987
14	1	1173	1182	1189	1182	1183	1188	1185	1185	1184	1184
14	10	1095	1103	1109	1097	1104	1107	1117	1148	1133	1128
14	100	998	982	968	970	980	960	965	1078	1079	1048
14	1000	906	909	904	917	896	900	899	1050	1026	1019
14	10000	897	887	886	892	882	875	878	1026	1009	990
15	1	1175	1178	1189	1177	1177	1191	1193	1184	1173	1177
15	10	1103	1106	1106	1107	1099	1109	1123	1150	1136	1122
15	100	986	975	974	971	966	965	936	1081	1062	1066
15	1000	930	911	905	907	909	902	897	1056	1031	1010
15	10000	887	895	878	893	887	890	870	1020	1019	985
