Instance	Generations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)
1	1	1178	1180	1179	1184	1185
1	10	1111	1112	1110	1117	1112
1	100	960	964	959	951	949
1	1000	895	908	911	900	911
1	10000	888	894	885	897	881
2	1	1176	1190	1183	1183	1183
2	10	1100	1111	1115	1110	1108
2	100	961	955	972	943	947
2	1000	899	909	917	908	898
2	10000	882	892	876	866	881
3	1	1184	1179	1177	1186	1191
3	10	1110	1100	1120	1111	1113
3	100	971	943	971	953	959
3	1000	911	897	895	904	898
3	10000	876	886	884	893	890
4	1	1184	1170	1198	1195	1182
4	10	1105	1094	1121	1117	1108
4	100	961	949	967	951	946
4	1000	900	900	922	908	891
4	10000	877	900	900	876	890
5	1	1192	1190	1178	1178	1197
5	10	1102	1123	1120	1105	1116
5	100	959	967	959	964	964
5	1000	883	891	906	888	888
5	10000	871	874	885	877	880
6	1	1173	1178	1182	1187	1182
6	10	1107	1103	1115	1115	1114
6	100	961	967	958	959	946
6	1000	888	899	891	907	907
6	10000	878	888	877	901	887
7	1	1172	1200	1181	1189	1183
7	10	1101	1117	1105	1115	1112
7	100	958	955	960	964	966
7	1000	891	903	905	899	882
7	10000	880	895	897	873	869
8	1	1186	1182	1190	1171	1184
8	10	1100	1108	1117	1106	1113
8	100	953	952	967	942	951
8	1000	918	902	911	902	888
8	10000	907	899	891	885	871
9	1	1181	1181	1178	1184	1192
9	10	1108	1108	1113	1112	1109
9	100	960	951	969	950	948
9	1000	903	905	885	887	892
9	10000	885	886	880	872	865
10	1	1179	1186	1181	1187	1180
10	10	1102	1115	1114	1111	1105
10	100	955	957	980	943	950
10	1000	936	898	906	903	893
10	10000	889	895	877	895	881
11	1	1179	1170	1186	1183	1194
11	10	1102	1090	1111	1117	1118
11	100	951	957	960	945	945
11	1000	902	901	918	900	920
11	10000	897	886	900	877	868
12	1	1191	1183	1182	1193	1181
12	10	1099	1104	1114	1109	1105
12	100	962	944	966	969	949
12	1000	899	900	912	915	901
12	10000	876	887	888	870	880
13	1	1174	1175	1178	1181	1182
13	10	1088	1107	1108	1105	1110
13	100	952	951	962	968	948
13	1000	904	900	904	897	892
13	10000	867	891	872	877	892
14	1	1180	1185	1174	1182	1183
14	10	1102	1112	1114	1105	1105
14	100	958	934	964	952	958
14	1000	900	900	910	904	904
14	10000	891	879	887	892	897
15	1	1184	1180	1186	1184	1181
15	10	1097	1115	1113	1119	1108
15	100	965	947	965	955	948
15	1000	890	911	889	891	902
15	10000	872	898	877	866	899
16	1	1179	1170	1186	1184	1178
16	10	1106	1098	1117	1107	1106
16	100	962	954	962	956	964
16	1000	917	879	891	885	888
16	10000	884	879	871	880	869
17	1	1188	1186	1175	1186	1178
17	10	1101	1106	1112	1122	1096
17	100	955	956	966	963	951
17	1000	906	899	890	895	897
17	10000	869	860	877	888	874
18	1	1189	1180	1183	1189	1188
18	10	1104	1113	1105	1113	1113
18	100	956	961	967	960	959
18	1000	905	900	914	898	882
18	10000	887	886	904	877	860
19	1	1180	1192	1186	1194	1193
19	10	1099	1114	1117	1123	1116
19	100	956	953	965	956	961
19	1000	910	888	893	916	884
19	10000	888	885	868	879	877
20	1	1185	1188	1182	1185	1187
20	10	1110	1113	1100	1108	1118
20	100	953	952	957	948	950
20	1000	915	915	918	899	895
20	10000	885	881	890	865	886
21	1	1189	1188	1188	1185	1180
21	10	1096	1105	1116	1128	1105
21	100	951	963	951	960	946
21	1000	892	896	907	885	906
21	10000	873	877	877	872	884
22	1	1193	1173	1187	1182	1175
22	10	1098	1106	1119	1110	1094
22	100	947	967	963	977	956
22	1000	897	901	901	892	888
22	10000	890	889	890	886	880
23	1	1176	1184	1185	1185	1183
23	10	1109	1100	1114	1111	1119
23	100	966	972	973	957	966
23	1000	911	896	891	905	898
23	10000	900	889	880	887	894
24	1	1187	1178	1180	1184	1191
24	10	1109	1090	1110	1107	1118
24	100	963	955	967	956	934
24	1000	902	897	894	898	911
24	10000	872	890	886	880	883
25	1	1191	1172	1187	1193	1196
25	10	1100	1091	1123	1123	1126
25	100	945	954	955	967	967
25	1000	906	902	899	904	893
25	10000	875	895	873	882	871
26	1	1184	1188	1178	1180	1165
26	10	1102	1105	1104	1113	1101
26	100	957	952	965	940	934
26	1000	894	903	904	893	898
26	10000	877	877	882	878	877
27	1	1190	1182	1184	1183	1190
27	10	1104	1101	1116	1100	1107
27	100	955	954	969	955	945
27	1000	895	905	919	912	897
27	10000	892	884	898	856	878
28	1	1187	1181	1181	1179	1190
28	10	1101	1097	1115	1093	1110
28	100	950	950	962	964	939
28	1000	905	898	905	903	881
28	10000	878	884	894	884	875
29	1	1173	1191	1198	1188	1191
29	10	1096	1109	1121	1115	1128
29	100	961	960	959	948	949
29	1000	910	902	895	894	913
29	10000	880	893	884	870	886
30	1	1190	1186	1189	1183	1174
30	10	1114	1106	1120	1112	1107
30	100	982	957	970	958	952
30	1000	902	901	893	904	901
30	10000	889	893	865	880	883
31	1	1168	1185	1183	1185	1187
31	10	1098	1103	1120	1118	1118
31	100	942	951	964	950	964
31	1000	911	905	901	905	899
31	10000	892	898	880	891	881
32	1	1185	1180	1186	1184	1188
32	10	1105	1106	1111	1114	1113
32	100	964	940	961	944	949
32	1000	904	905	907	900	901
32	10000	895	888	878	877	871
33	1	1185	1192	1180	1182	1199
33	10	1111	1115	1104	1104	1114
33	100	951	968	959	942	950
33	1000	905	898	886	891	889
33	10000	884	896	866	877	879
34	1	1190	1190	1183	1187	1175
34	10	1112	1106	1101	1106	1111
34	100	972	964	955	955	953
34	1000	899	913	909	915	898
34	10000	874	900	896	881	895
35	1	1184	1156	1180	1184	1187
35	10	1114	1096	1114	1116	1118
35	100	961	945	973	953	952
35	1000	909	892	901	890	912
35	10000	901	879	888	874	904
36	1	1166	1186	1187	1176	1176
36	10	1098	1099	1118	1091	1096
36	100	953	937	959	948	944
36	1000	896	872	909	901	899
36	10000	875	867	901	900	879
37	1	1173	1182	1191	1179	1188
37	10	1092	1113	1118	1114	1120
37	100	958	968	953	958	941
37	1000	903	917	913	904	898
37	10000	887	894	890	876	889
38	1	1178	1172	1178	1194	1186
38	10	1102	1107	1107	1122	1110
38	100	962	955	954	949	950
38	1000	898	896	901	901	919
38	10000	868	886	888	861	877
39	1	1186	1178	1194	1174	1186
39	10	1101	1105	1122	1105	1119
39	100	961	967	966	951	943
39	1000	913	904	906	881	901
39	10000	880	896	866	878	897
40	1	1163	1185	1188	1167	1193
40	10	1104	1115	1118	1096	1118
40	100	951	956	956	962	949
40	1000	906	922	917	919	886
40	10000	900	893	890	874	879
41	1	1192	1172	1178	1183	1169
41	10	1117	1101	1106	1109	1092
41	100	968	962	959	961	946
41	1000	885	906	901	902	874
41	10000	872	877	879	887	874
42	1	1184	1193	1188	1157	1194
42	10	1105	1108	1111	1099	1115
42	100	956	943	958	954	971
42	1000	913	897	892	906	906
42	10000	898	875	883	898	878
43	1	1179	1176	1192	1183	1164
43	10	1110	1098	1126	1102	1095
43	100	953	964	962	953	950
43	1000	887	901	892	903	896
43	10000	880	871	885	877	891
44	1	1185	1168	1173	1185	1184
44	10	1112	1098	1099	1100	1114
44	100	948	968	963	950	953
44	1000	906	911	913	906	882
44	10000	890	891	900	893	872
45	1	1175	1184	1194	1188	1194
45	10	1092	1111	1112	1114	1115
45	100	963	968	973	962	938
45	1000	928	905	905	899	909
