Instance	Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	266	255	267	256	257	263	248	285	274	281
1	1000	232	229	216	217	231	224	220	250	246	244
1	10000	200	205	201	209	209	207	205	237	237	230
1	100000	197	192	195	192	201	203	205	237	237	229
1	1000000	193	188	193	187	190	203	205	237	237	222
1	10000000	187	188	193	184	190	203	205	237	237	212
2	100	267	256	256	258	262	259	249	282	274	271
2	1000	235	220	228	225	221	230	214	262	250	259
2	10000	196	209	200	206	202	206	191	253	232	238
2	100000	193	206	198	193	197	196	191	253	232	225
2	1000000	193	199	198	192	195	196	191	253	232	220
2	10000000	189	197	197	184	193	196	191	253	232	218
3	100	261	257	257	259	260	247	257	276	267	277
3	1000	230	226	224	242	223	225	226	249	246	248
3	10000	204	210	195	208	200	204	201	246	234	238
3	100000	195	194	191	186	190	188	201	246	234	234
3	1000000	194	194	190	186	190	187	201	246	234	229
3	10000000	186	194	190	186	190	187	201	246	234	227
4	100	253	254	264	262	268	262	259	280	269	276
4	1000	228	222	225	230	227	226	221	253	243	235
4	10000	204	209	203	210	208	202	195	250	233	225
4	100000	193	200	189	195	199	195	195	250	233	220
4	1000000	188	200	189	191	185	189	195	250	233	215
4	10000000	186	199	186	191	185	189	195	250	233	215
5	100	258	254	249	267	246	256	248	280	277	275
5	1000	230	227	224	237	232	219	224	255	245	259
5	10000	202	207	202	206	208	198	209	249	238	238
5	100000	198	199	202	195	195	196	209	249	238	222
5	1000000	198	199	188	192	193	193	209	249	238	219
5	10000000	192	187	186	192	193	193	209	249	238	219
6	100	257	257	265	269	256	256	259	278	269	280
6	1000	237	226	216	234	234	222	221	254	247	252
6	10000	214	203	210	215	213	211	199	247	232	231
6	100000	197	193	200	191	198	190	199	247	232	230
6	1000000	186	190	200	189	198	188	199	247	232	210
6	10000000	186	190	200	189	198	188	199	247	232	203
7	100	259	265	257	261	264	258	258	274	279	280
7	1000	233	224	220	234	224	223	216	252	248	256
7	10000	210	202	196	207	200	202	206	252	229	235
7	100000	209	199	189	192	194	198	206	252	229	224
7	1000000	190	190	0	183	194	198	206	252	229	220
7	10000000	189	190	0	183	194	198	206	252	229	213
8	100	261	254	248	254	250	263	261	266	276	281
8	1000	236	230	221	227	224	222	227	256	245	258
8	10000	202	204	208	207	212	206	204	237	243	241
8	100000	199	196	208	194	204	193	196	237	243	227
8	1000000	184	196	192	185	197	189	196	237	243	225
8	10000000	184	196	192	185	197	189	196	237	243	224
9	100	257	263	262	254	255	256	252	280	274	273
9	1000	231	221	222	234	231	224	217	259	247	243
9	10000	203	206	198	205	193	202	204	252	238	228
9	100000	201	193	198	199	188	194	204	252	238	226
9	1000000	195	193	198	192	188	192	204	252	238	223
9	10000000	195	193	198	192	183	192	204	252	238	215
10	100	260	255	264	261	254	257	245	272	274	277
10	1000	233	230	216	227	226	223	217	252	244	251
10	10000	196	207	201	208	207	202	201	236	234	231
10	100000	194	197	200	192	196	202	201	236	234	221
10	1000000	191	188	195	192	189	202	201	236	234	215
10	10000000	190	188	195	192	189	202	201	236	234	214
11	100	269	260	263	254	259	251	259	270	270	283
11	1000	236	223	221	227	225	222	225	250	250	238
11	10000	207	206	200	202	207	207	206	243	238	231
11	100000	204	195	197	197	201	198	206	239	238	227
11	1000000	196	195	195	189	198	193	206	239	238	222
11	10000000	181	195	195	182	185	193	206	239	238	222
12	100	267	252	259	264	254	258	264	282	274	278
12	1000	224	215	225	231	219	227	221	269	255	252
12	10000	202	194	191	215	206	206	205	245	237	234
12	100000	191	188	191	202	201	199	205	240	233	226
12	1000000	191	182	191	182	192	188	205	240	233	225
12	10000000	191	181	191	182	190	188	205	240	233	216
13	100	256	257	255	259	250	252	248	282	274	274
13	1000	227	230	228	234	229	227	228	260	255	246
13	10000	206	206	202	213	201	204	206	250	243	231
13	100000	198	204	199	200	193	196	206	250	243	225
13	1000000	197	204	197	200	193	195	206	250	243	225
13	10000000	190	204	197	197	193	195	206	250	243	221
14	100	257	260	264	263	261	258	263	276	275	273
14	1000	229	230	214	226	227	222	222	254	241	252
14	10000	202	205	195	204	204	201	204	247	239	229
14	100000	198	202	195	194	200	189	204	247	239	220
14	1000000	195	202	187	190	200	189	204	247	239	220
14	10000000	191	199	187	188	200	189	204	247	239	214
15	100	262	256	249	265	250	264	256	274	270	276
15	1000	231	225	224	220	221	217	216	249	256	244
15	10000	209	198	203	193	204	192	207	240	243	233
15	100000	203	198	200	190	196	189	207	240	243	225
15	1000000	181	198	200	190	195	189	207	240	243	215
15	10000000	181	182	190	190	195	189	207	240	243	210
16	100	266	261	254	269	257	255	260	274	270	278
16	1000	229	221	217	230	233	214	219	265	254	252
16	10000	206	204	199	205	202	205	206	250	244	228
16	100000	206	196	199	197	192	200	206	250	244	217
16	1000000	188	193	199	195	192	193	206	250	244	209
16	10000000	185	193	196	194	187	193	206	250	244	208
17	100	248	260	261	263	262	258	252	281	279	278
17	1000	225	228	207	232	226	223	221	257	248	245
17	10000	209	200	196	200	205	205	200	252	234	238
17	100000	193	192	195	194	198	201	200	252	234	232
17	1000000	191	192	195	192	197	194	200	252	234	221
17	10000000	189	192	195	182	191	194	200	252	234	220
18	100	266	262	259	267	253	260	263	278	273	257
18	1000	221	235	216	231	224	222	228	264	243	244
18	10000	203	201	194	206	202	204	205	252	238	236
18	100000	193	198	193	196	198	203	205	252	238	220
18	1000000	190	198	193	193	198	194	205	252	238	220
18	10000000	190	192	193	193	198	194	205	252	238	220
19	100	261	253	262	254	256	250	256	281	276	276
19	1000	232	218	209	231	227	227	229	259	251	249
19	10000	216	202	198	206	201	195	203	241	241	239
19	100000	197	187	195	205	195	192	203	241	241	228
19	1000000	193	187	193	205	188	184	203	241	241	216
19	10000000	193	187	193	192	188	184	203	241	241	213
20	100	252	261	254	261	251	252	261	272	261	275
20	1000	225	225	218	225	227	221	219	254	245	250
20	10000	208	202	209	211	205	206	200	242	240	236
20	100000	203	197	198	207	197	201	200	242	240	224
20	1000000	200	197	198	197	193	201	200	242	240	219
