Instance	Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	1157	1172	1144	1128	1131	1112	1140	1183	1182	1176
1	1000	1082	1082	1093	1075	1078	1062	1062	1138	1156	1149
1	10000	1007	1000	1009	980	992	967	966	1110	1114	1075
1	100000	972	964	944	937	919	921	912	1063	1039	1038
1	1000000	926	917	915	885	888	882	869	1042	1005	1011
2	100	1174	1172	1166	1154	1139	1122	1140	1180	1187	1165
2	1000	1099	1082	1076	1083	1082	1056	1057	1142	1135	1152
2	10000	1012	1020	1007	1021	1005	979	958	1108	1104	1095
2	100000	961	969	958	951	921	932	899	1038	1036	1051
2	1000000	917	923	922	909	886	891	877	1022	1024	999
3	100	1147	1160	1168	1174	1143	1169	1116	1191	1191	1184
3	1000	1105	1083	1084	1084	1080	1047	1068	1169	1145	1143
3	10000	1019	1024	1013	1003	985	968	958	1103	1075	1088
3	100000	946	952	950	943	935	919	886	1068	1044	1026
3	1000000	914	914	905	894	895	873	875	1042	1016	1011
4	100	1157	1161	1162	1143	1159	1109	1156	1200	1174	1184
4	1000	1098	1091	1063	1082	1075	1066	1035	1160	1146	1140
4	10000	1025	1022	1001	1018	994	973	975	1125	1099	1102
4	100000	968	955	955	943	929	927	897	1049	1049	1038
4	1000000	916	908	914	909	899	892	866	1035	1006	1005
5	100	1149	1150	1165	1159	1139	1116	1144	1186	1172	1193
5	1000	1075	1094	1087	1075	1088	1063	1069	1154	1148	1152
5	10000	1030	1011	1020	1005	987	965	958	1094	1089	1101
5	100000	971	942	953	935	935	921	916	1049	1044	1039
5	1000000	924	911	920	908	892	887	870	1031	1015	1020
6	100	1145	1150	1155	1140	1153	1147	1137	1180	1182	1174
6	1000	1080	1082	1079	1080	1072	1052	1052	1147	1162	1157
6	10000	1020	1016	1001	997	991	975	976	1102	1089	1107
6	100000	978	948	943	941	941	917	906	1054	1037	1026
6	1000000	926	913	914	911	898	894	871	1037	1000	1019
7	100	1167	1143	1154	1168	1131	1155	1130	1199	1202	1179
7	1000	1105	1068	1080	1075	1060	1059	1051	1156	1141	1145
7	10000	1014	1018	1006	999	975	981	991	1101	1089	1097
7	100000	975	962	952	945	939	935	910	1030	1040	1048
7	1000000	918	912	901	902	894	897	875	1026	990	990
