Instance	Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)
1	100	1137	1181	1143	1171	1130
1	1000	1081	1064	1053	1071	1073
1	10000	984	965	971	967	973
1	100000	917	898	906	914	917
1	1000000	880	868	888	892	875
2	100	1153	1162	1166	1104	1137
2	1000	1086	1061	1061	1060	1075
2	10000	975	968	986	994	956
2	100000	908	924	903	914	914
2	1000000	890	884	881	885	877
3	100	1143	1145	1146	1122	1155
3	1000	1072	1048	1081	1056	1071
3	10000	988	984	950	970	955
3	100000	925	917	928	923	908
3	1000000	894	892	884	890	882
4	100	1129	1158	1130	1157	1144
4	1000	1053	1061	1053	1069	1068
4	10000	990	974	974	979	967
4	100000	917	922	907	918	911
4	1000000	889	891	886	874	873
5	100	1154	1150	1134	1123	1133
5	1000	1065	1068	1072	1072	1054
5	10000	984	974	965	965	984
5	100000	911	917	921	915	910
5	1000000	890	890	891	877	874
6	100	1140	1164	1147	1157	1166
6	1000	1063	1079	1075	1073	1025
6	10000	978	997	970	973	964
6	100000	939	913	929	909	909
6	1000000	875	887	881	876	868
7	100	1145	1120	1140	1127	1109
7	1000	1080	1076	1082	1064	1076
7	10000	970	975	977	967	961
7	100000	924	900	911	919	888
7	1000000	887	893	887	877	889
8	100	1156	1153	1150	1115	1140
8	1000	1052	1068	1052	1065	1069
8	10000	987	996	975	966	978
8	100000	924	917	905	902	909
8	1000000	907	886	872	874	894
9	100	1145	1154	1149	1145	1149
9	1000	1077	1056	1059	1055	1076
9	10000	981	962	988	974	976
9	100000	934	924	917	909	919
9	1000000	896	888	879	878	873
10	100	1167	1147	1139	1124	1153
10	1000	1071	1072	1071	1057	1049
10	10000	991	971	975	967	963
10	100000	907	915	902	907	904
10	1000000	887	881	883	878	869
11	100	1152	1155	1136	1139	1127
11	1000	1062	1068	1058	1048	1048
11	10000	971	986	975	974	981
11	100000	918	916	922	906	916
11	1000000	889	887	881	868	872
12	100	1140	1137	1147	1122	1146
12	1000	1071	1062	1055	1064	1073
12	10000	985	984	976	959	982
12	100000	920	925	918	897	910
12	1000000	896	895	884	880	875
13	100	1130	1150	1137	1146	1142
13	1000	1073	1085	1053	1069	1056
13	10000	987	966	980	969	961
13	100000	923	910	923	905	915
13	1000000	899	882	896	876	880
14	100	1158	1151	1144	1151	1136
14	1000	1085	1056	1081	1077	1042
14	10000	1000	975	988	977	958
14	100000	925	909	909	914	905
14	1000000	884	872	884	883	863
15	100	1157	1138	1171	1134	1151
15	1000	1070	1077	1060	1053	1060
15	10000	989	980	975	983	972
15	100000	916	922	918	902	903
15	1000000	890	890	884	885	869
16	100	1152	1134	1151	1136	1138
16	1000	1067	1076	1062	1060	1044
