Instance	Evaluations	Cycle(0.5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	256	268	267	267	274	264	280
1	1000	237	244	230	226	272	262	267
1	10000	207	212	198	206	241	250	241
1	100000	191	202	195	187	229	221	229
1	1000000	186	187	184	184	224	223	217
1	10000000	0	0	0	0	219	218	210
2	100	271	267	274	266	287	279	280
2	1000	240	240	238	221	270	271	265
2	10000	205	219	212	207	242	252	248
2	100000	197	194	194	196	242	226	229
2	1000000	184	187	178	183	228	218	216
2	10000000	0	0	0	0	221	216	208
3	100	274	262	266	271	282	272	275
3	1000	235	246	238	235	245	266	266
3	10000	209	221	211	209	248	243	250
3	100000	0	196	184	187	237	232	231
3	1000000	60	189	0	184	228	220	219
3	10000000	0	0	0	0	223	215	210
4	100	249	251	259	265	275	278	283
4	1000	242	241	237	237	263	257	265
4	10000	207	221	213	207	242	241	237
4	100000	194	193	191	195	238	226	226
4	1000000	189	186	184	175	225	225	219
4	10000000	0	0	0	0	220	214	205
5	100	268	256	269	266	279	275	282
5	1000	246	243	239	236	270	270	248
5	10000	206	224	206	204	243	243	243
5	100000	195	199	195	194	240	229	229
5	1000000	187	189	183	182	228	220	220
5	10000000	0	0	0	0	219	215	211
6	100	270	275	268	265	286	275	283
6	1000	238	240	235	238	272	256	266
6	10000	207	211	207	210	251	235	247
6	100000	195	197	186	193	237	232	227
6	1000000	186	0	186	184	229	222	222
6	10000000	0	0	0	0	218	216	209
7	100	268	271	262	263	285	274	277
7	1000	242	240	236	234	269	266	249
7	10000	214	215	202	199	242	238	237
7	100000	196	194	192	182	233	230	229
7	1000000	0	187	188	0	229	227	221
7	10000000	0	0	0	0	219	212	207
8	100	267	266	273	264	274	270	282
8	1000	244	236	233	239	262	264	263
8	10000	214	211	215	208	255	239	249
8	100000	197	198	188	195	239	230	237
8	1000000	184	183	0	178	231	213	222
8	10000000	0	0	0	0	217	217	205
9	100	263	268	262	257	272	280	281
9	1000	234	247	240	238	268	255	257
9	10000	215	217	209	198	242	240	236
9	100000	190	198	195	191	234	224	229
9	1000000	188	181	187	185	228	223	223
9	10000000	0	0	0	0	222	217	213
10	100	266	280	260	266	283	278	279
10	1000	241	234	239	227	269	254	263
10	10000	206	211	213	204	252	250	246
10	100000	196	189	193	191	230	223	231
10	1000000	187	185	105	187	228	224	217
10	10000000	0	0	0	0	222	213	207
11	100	263	257	261	268	283	278	276
11	1000	234	240	239	232	254	264	264
11	10000	209	212	206	203	255	244	237
11	100000	191	190	192	188	238	225	226
11	1000000	183	189	190	183	220	224	218
11	10000000	0	0	0	0	212	213	209
12	100	263	260	259	251	283	273	282
12	1000	242	239	224	237	266	265	268
12	10000	213	213	213	202	255	243	233
12	100000	195	192	195	182	240	232	225
12	1000000	0	182	186	0	231	215	220
12	10000000	0	0	0	0	215	210	213
13	100	264	262	259	269	283	280	270
13	1000	234	235	233	235	265	261	267
13	10000	213	213	213	208	247	238	239
13	100000	198	200	191	183	241	224	230
13	1000000	185	186	186	182	220	221	215
13	10000000	0	0	0	0	217	213	209
14	100	259	271	272	264	285	276	279
14	1000	243	239	235	228	269	270	258
14	10000	211	215	207	206	251	241	247
