Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	58	55	54	59	53	59	58	63	57	63
1	1000	54	50	49	52	45	47	46	60	58	56
1	10000	43	36	32	36	33	37	33	46	44	52
1	100000	28	25	27	27	26	22	23	41	36	43
1	1000000	23	19	15	23	23	13	18	41	36	37
1	10000000	16	14	13	12	16	0	11	32	29	32
2	100	60	59	57	57	57	57	60	62	60	60
2	1000	50	47	42	55	49	48	50	56	55	56
2	10000	37	33	33	41	38	33	32	48	47	52
2	100000	27	24	23	22	27	22	24	42	39	42
2	1000000	19	22	14	20	20	20	14	36	38	37
2	10000000	16	13	13	14	12	10	11	35	29	36
3	100	61	57	61	55	56	51	55	62	57	61
3	1000	50	48	45	49	46	50	48	53	53	61
3	10000	35	37	35	38	36	30	27	52	42	52
3	100000	30	27	20	29	25	19	23	41	35	45
3	1000000	22	19	17	21	22	16	15	40	34	39
3	10000000	17	15	0	15	14	10	11	34	29	34
4	100	59	56	59	59	56	55	52	63	64	64
4	1000	49	46	52	48	48	47	51	55	53	57
4	10000	41	34	36	38	39	36	34	46	40	49
4	100000	31	22	23	29	23	24	11	38	35	43
4	1000000	19	17	14	16	18	16	20	38	33	38
4	10000000	14	11	13	11	15	15	9	34	30	30
5	100	59	56	56	58	58	57	60	61	63	64
5	1000	49	46	50	51	48	48	43	58	54	54
5	10000	43	39	31	39	32	38	32	42	46	45
5	100000	27	28	27	28	30	18	26	40	37	40
5	1000000	19	17	17	16	14	15	15	38	30	37
5	10000000	13	13	11	9	13	12	9	34	31	32
6	100	61	60	56	58	60	56	57	64	65	64
6	1000	52	49	45	47	49	49	48	56	55	57
6	10000	38	37	35	38	37	34	34	41	42	46
6	100000	25	26	25	27	25	23	22	37	41	39
6	1000000	24	19	22	19	21	20	13	38	32	38
6	10000000	17	14	15	12	17	13	12	34	31	35
7	100	58	59	58	58	54	55	59	64	61	63
7	1000	51	47	47	49	50	47	47	58	58	56
7	10000	37	37	34	35	36	36	34	50	46	50
7	100000	28	27	25	30	21	25	21	44	39	43
7	1000000	16	20	17	19	17	19	14	37	34	38
7	10000000	16	10	13	13	13	14	12	35	31	34
8	100	60	59	53	61	61	59	53	62	65	63
8	1000	50	45	49	50	50	44	48	58	59	56
8	10000	38	37	31	37	41	38	27	46	44	49
8	100000	32	28	26	28	29	25	21	40	38	38
8	1000000	21	21	19	15	20	19	4	37	37	38
8	10000000	12	15	13	15	8	7	9	34	31	33
9	100	60	57	55	59	56	55	53	60	63	64
9	1000	49	43	47	51	49	50	47	51	59	58
9	10000	38	36	37	40	35	27	31	51	46	51
9	100000	26	25	23	29	28	26	21	45	39	43
9	1000000	23	20	14	19	16	24	16	38	36	36
9	10000000	13	15	14	9	8	9	14	32	30	27
10	100	62	57	58	59	56	62	58	60	65	61
10	1000	51	46	48	49	52	45	47	58	58	58
10	10000	36	36	38	38	33	34	32	44	48	51
10	100000	28	19	21	30	26	21	24	42	33	45
10	1000000	18	19	12	19	21	18	17	39	33	38
10	10000000	10	13	10	14	14	15	11	35	33	32
11	100	58	58	57	56	59	62	54	61	63	63
11	1000	49	51	48	50	45	47	47	58	60	60
11	10000	40	33	31	42	29	30	32	46	43	53
11	100000	29	26	24	21	16	24	27	41	38	41
11	1000000	19	18	16	23	19	17	14	36	33	32
11	10000000	15	11	8	12	13	10	13	34	31	28
12	100	58	60	58	57	59	61	53	58	59	59
12	1000	45	50	49	49	50	50	48	58	54	57
12	10000	40	35	31	34	36	34	33	46	47	49
12	100000	27	27	23	26	25	27	23	43	36	41
12	1000000	19	13	18	18	18	22	19	38	36	39
12	10000000	15	4	11	13	13	12	11	33	32	34
13	100	58	53	58	60	61	59	59	62	62	63
13	1000	49	47	50	48	49	47	48	58	59	58
13	10000	39	35	36	40	35	36	34	50	43	47
13	100000	31	22	26	30	23	28	19	37	35	44
13	1000000	18	17	14	26	22	21	20	36	34	34
13	10000000	10	13	11	16	12	12	9	36	31	34
14	100	61	59	54	59	61	60	61	60	64	63
14	1000	46	50	45	51	52	46	45	55	58	56
