Instance	Generations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	1	1171	1181	1189	1195	1181	1196	1201	1193	1197	1190
1	10	1157	1161	1151	1166	1159	1169	1176	1167	1173	1162
1	100	1098	1094	1085	1081	1069	1074	1072	1137	1132	1152
1	1000	1024	1007	999	1004	999	1002	976	1086	1072	1076
1	10000	925	925	937	933	924	915	915	1057	1032	1026
2	1	1185	1188	1194	1198	1186	1189	1201	1191	1191	1194
2	10	1168	1167	1168	1168	1159	1149	1169	1184	1171	1171
2	100	1106	1112	1077	1084	1075	1055	1078	1129	1152	1143
2	1000	1021	996	1000	1011	999	985	971	1096	1066	1089
2	10000	945	937	958	933	932	927	906	1027	1040	1035
3	1	1199	1183	1183	1184	1199	1181	1185	1190	1192	1198
3	10	1170	1155	1162	1167	1170	1157	1137	1168	1187	1180
3	100	1096	1097	1099	1083	1071	1075	1058	1133	1136	1137
3	1000	1019	1017	1010	1006	997	994	991	1088	1066	1090
3	10000	934	958	949	938	934	916	901	1046	1024	1022
4	1	1193	1186	1188	1192	1193	1196	1197	1193	1187	1190
4	10	1153	1165	1167	1167	1166	1161	1170	1176	1172	1168
4	100	1083	1107	1074	1075	1085	1065	1070	1132	1135	1140
4	1000	1012	1019	1005	1006	1013	988	966	1085	1081	1086
4	10000	951	950	933	949	923	920	919	1038	1043	1043
5	1	1191	1182	1185	1182	1190	1197	1199	1188	1186	1193
5	10	1160	1152	1155	1141	1153	1168	1170	1167	1169	1174
5	100	1091	1091	1095	1069	1085	1085	1075	1131	1158	1157
5	1000	1013	1014	1012	1008	995	983	968	1102	1099	1078
5	10000	945	954	944	936	917	931	918	1045	1071	1036
6	1	1197	1199	1188	1208	1189	1191	1190	1195	1172	1188
6	10	1165	1166	1158	1171	1151	1164	1168	1178	1151	1171
6	100	1097	1099	1094	1065	1063	1066	1057	1139	1141	1145
6	1000	1020	1007	1010	1001	994	985	984	1080	1084	1054
6	10000	955	946	936	926	921	910	922	1042	1043	1029
7	1	1184	1184	1185	1202	1191	1197	1185	1183	1181	1185
