Instance	Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	55	60	54	53	55	53	54	65	62	59
1	1000	49	47	37	44	42	42	42	58	56	49
1	10000	38	33	33	37	33	32	33	51	50	46
1	100000	36	30	33	32	30	32	33	51	50	35
1	1000000	32	30	33	26	28	32	33	51	50	35
1	10000000	32	28	27	24	27	32	33	51	50	35
2	100	61	55	59	56	59	54	55	66	63	63
2	1000	47	43	45	42	47	40	43	56	54	52
2	10000	33	35	38	36	37	32	40	52	50	46
2	100000	30	33	36	35	34	29	40	52	50	44
2	1000000	28	30	25	31	31	29	40	52	50	42
2	10000000	25	27	25	22	30	29	40	52	50	39
3	100	57	58	56	58	55	56	52	64	63	63
3	1000	46	43	43	45	42	45	42	59	47	56
3	10000	39	34	32	35	31	38	39	55	41	51
3	100000	34	30	29	32	29	31	39	55	41	51
3	1000000	29	28	27	29	29	30	39	55	41	44
3	10000000	27	23	27	27	19	30	39	55	41	42
4	100	58	53	54	58	55	57	56	62	60	61
4	1000	48	45	43	46	43	40	44	50	55	52
4	10000	41	33	37	38	38	38	41	49	49	50
4	100000	40	28	33	33	33	34	41	49	49	46
4	1000000	36	28	32	27	33	34	41	49	49	41
4	10000000	28	21	32	25	27	34	41	49	49	41
5	100	55	60	52	58	56	55	54	61	62	57
5	1000	42	41	43	46	43	44	41	55	50	54
5	10000	35	35	38	40	33	34	37	53	49	50
5	100000	35	35	33	35	33	33	37	53	49	48
5	1000000	31	31	31	35	23	33	37	53	49	41
5	10000000	31	29	29	26	23	33	37	53	49	41
6	100	59	54	58	61	56	53	58	65	64	61
6	1000	45	37	43	44	44	42	42	58	59	50
6	10000	34	32	33	41	33	33	33	53	59	44
6	100000	33	32	33	35	32	32	33	53	59	44
6	1000000	30	32	30	29	29	32	33	53	59	42
6	10000000	25	26	30	26	28	32	33	53	59	38
7	100	56	58	57	56	56	56	55	63	65	61
7	1000	45	41	43	41	45	45	42	51	57	55
7	10000	38	35	37	36	33	39	38	51	48	52
7	100000	36	32	36	28	33	39	38	51	48	49
7	1000000	32	27	30	28	28	39	38	51	48	47
7	10000000	22	23	28	24	25	39	38	51	48	47
8	100	55	56	58	57	57	54	57	64	62	61
8	1000	46	45	44	47	42	38	42	55	57	56
8	10000	37	36	38	34	37	31	40	52	49	50
8	100000	29	35	37	32	37	30	40	52	49	47
8	1000000	29	31	32	32	32	30	40	52	49	43
8	10000000	29	27	32	25	21	30	40	52	49	42
9	100	57	58	56	53	54	59	57	62	59	63
9	1000	50	44	43	42	42	44	38	53	54	57
9	10000	36	38	40	36	35	35	35	49	49	49
9	100000	35	38	36	35	35	35	35	48	49	47
9	1000000	26	36	36	30	28	33	35	48	49	47
9	10000000	24	29	32	28	23	33	35	48	49	47
10	100	59	59	56	55	57	56	58	61	60	60
10	1000	48	45	42	44	42	41	47	56	53	57
10	10000	29	36	39	37	38	37	44	48	46	53
10	100000	25	36	33	33	36	36	44	48	46	49
10	1000000	25	30	33	30	30	33	44	48	46	48
10	10000000	22	28	33	26	23	33	44	48	46	45
11	100	54	58	55	56	56	58	57	60	61	60
11	1000	46	45	41	44	45	45	40	52	51	57
11	10000	32	36	35	32	34	39	36	46	48	51
11	100000	30	36	35	32	28	37	36	46	48	46
11	1000000	26	32	33	26	27	36	36	46	48	46
11	10000000	26	27	32	24	22	36	36	46	48	44
12	100	59	59	57	55	56	59	55	64	57	64
12	1000	51	42	41	42	42	43	41	61	46	58
12	10000	39	35	36	39	33	36	39	53	41	51
12	100000	37	34	35	35	29	36	39	53	41	48
12	1000000	37	33	32	33	28	36	39	53	41	43
12	10000000	27	29	28	27	25	36	39	53	41	42
13	100	56	56	61	56	55	55	53	63	59	58
13	1000	46	45	40	43	42	44	43	57	53	52
13	10000	34	33	33	36	34	39	39	54	46	51
13	100000	33	32	33	31	31	36	39	54	46	47
13	1000000	31	32	30	20	29	33	39	54	46	44
13	10000000	27	30	26	17	29	33	39	54	46	42
14	100	59	60	51	51	57	59	59	66	64	62
14	1000	48	44	40	46	46	45	41	61	57	54
14	10000	40	35	35	40	38	32	36	54	53	49
14	100000	37	34	35	40	35	29	36	54	53	48
14	1000000	29	33	34	25	30	29	36	54	53	47
14	10000000	26	26	34	25	25	29	36	54	53	43
15	100	53	59	54	59	54	58	54	64	64	63
15	1000	45	48	42	48	45	44	37	57	56	54
15	10000	34	37	33	33	36	34	32	53	52	49
15	100000	30	35	33	31	30	33	32	53	52	47
15	1000000	28	28	33	26	30	32	32	53	52	46
15	10000000	24	27	28	26	29	32	32	53	52	42
16	100	56	59	55	57	59	59	58	64	60	59
16	1000	47	44	45	42	42	42	38	54	53	53
16	10000	39	32	38	32	32	35	33	54	51	50
16	100000	34	32	34	31	26	34	33	54	51	45
16	1000000	33	28	33	31	19	31	33	54	51	43
16	10000000	27	25	27	25	17	31	33	54	51	43
17	100	54	58	57	55	56	55	53	60	57	64
17	1000	46	43	42	44	46	43	39	55	50	53
17	10000	38	38	37	36	37	38	37	54	47	49
17	100000	31	30	35	33	35	38	37	54	47	43
17	1000000	31	27	34	32	28	36	37	54	47	43
17	10000000	25	27	32	26	27	36	37	54	47	43
18	100	55	56	57	60	57	56	57	65	60	60
18	1000	44	47	44	45	44	44	37	61	54	52
18	10000	40	37	40	35	35	37	35	53	51	49
18	100000	35	32	35	33	35	36	35	53	51	42
18	1000000	30	32	34	31	30	36	35	53	51	42
18	10000000	28	27	33	24	29	36	35	53	51	39
19	100	58	57	57	59	60	60	50	64	61	61
19	1000	46	43	42	43	49	43	44	55	56	55
19	10000	38	37	34	36	40	38	41	53	51	49
19	100000	38	36	33	31	30	32	41	53	51	43
19	1000000	31	31	32	30	28	32	41	53	51	41
19	10000000	31	30	27	25	28	32	41	53	51	37
20	100	58	56	60	58	58	58	52	61	61	62
20	1000	46	44	41	43	40	46	39	56	58	54
20	10000	41	33	38	32	36	33	36	52	56	48
20	100000	36	31	32	28	33	28	36	52	56	46
20	1000000	34	25	30	24	28	27	36	52	56	40
20	10000000	33	24	30	24	24	27	36	52	56	39
21	100	60	55	56	57	58	56	55	60	60	60
21	1000	43	44	45	43	43	43	43	53	56	55
21	10000	36	40	40	34	33	39	40	49	49	50
21	100000	32	33	35	30	33	30	40	49	49	49
21	1000000	32	31	35	26	30	30	40	49	49	44
21	10000000	27	26	34	22	25	30	40	49	49	42
22	100	58	57	57	55	56	59	60	66	62	65
22	1000	45	42	41	41	41	43	45	56	51	53
22	10000	31	31	36	36	33	39	43	54	48	46
22	100000	31	30	32	34	25	33	43	54	48	45
22	1000000	29	30	27	31	25	33	43	54	48	43
22	10000000	28	28	27	26	24	33	43	54	48	43
23	100	52	55	59	57	57	55	57	64	60	61
23	1000	49	45	42	44	45	43	44	52	53	55
23	10000	38	37	34	31	37	37	40	51	51	49
23	100000	35	32	32	29	34	36	40	51	51	45
23	1000000	33	29	29	29	29	36	40	51	51	42
23	10000000	30	28	29	26	23	36	40	51	51	42
24	100	56	58	58	62	57	60	55	58	63	60
24	1000	44	43	41	47	45	44	39	52	55	54
24	10000	38	39	35	38	35	38	34	50	51	47
24	100000	30	35	33	32	27	32	34	50	51	46
24	1000000	27	35	33	32	21	32	34	50	51	45
24	10000000	25	29	29	31	21	32	34	50	51	41
25	100	59	56	57	59	58	56	58	67	64	63
25	1000	44	44	38	46	44	43	43	60	61	56
25	10000	32	37	38	36	40	34	40	60	60	53
25	100000	31	30	34	30	31	34	40	60	60	49
25	1000000	29	27	32	29	29	34	40	60	60	45
25	10000000	28	25	32	24	23	34	40	60	60	42
26	100	61	58	57	61	56	56	56	64	61	60
26	1000	47	44	44	41	43	39	45	53	58	56
26	10000	40	38	34	33	38	36	37	51	54	49
26	100000	35	36	32	25	34	30	37	51	54	45
26	1000000	26	36	27	25	30	29	37	51	54	39
26	10000000	26	25	23	25	28	29	37	51	54	39
27	100	60	49	55	56	59	50	55	62	59	61
27	1000	40	42	39	44	45	41	45	53	53	54
27	10000	35	36	29	36	32	36	37	52	50	49
27	100000	29	36	23	31	30	33	37	52	50	41
27	1000000	29	33	23	31	28	29	37	52	50	40
27	10000000	25	25	22	30	24	29	37	52	50	40
28	100	54	59	57	58	58	59	57	59	62	60
28	1000	48	48	41	48	41	43	45	51	55	54
28	10000	36	36	34	37	35	35	39	48	51	49
28	100000	33	33	34	27	35	31	39	48	51	46
28	1000000	29	33	29	27	30	31	39	48	51	46
28	10000000	28	28	27	26	25	31	39	48	51	43
29	100	60	61	54	57	53	57	59	62	63	62
29	1000	50	42	42	46	43	45	45	53	57	51
29	10000	40	37	36	35	30	38	35	49	55	47
29	100000	32	36	35	28	28	36	35	49	55	43
29	1000000	29	31	33	21	28	36	35	49	55	41
29	10000000	24	30	28	21	28	36	35	49	55	39
30	100	58	58	57	59	53	60	54	64	65	62
30	1000	46	43	44	49	45	41	44	62	52	53
30	10000	37	33	34	37	32	34	35	57	47	48
30	100000	33	32	32	32	29	34	35	57	47	48
30	1000000	27	29	31	25	26	33	35	57	47	40
30	10000000	20	28	28	24	25	33	35	57	47	40
31	100	62	54	53	57	56	54	53	66	61	62
31	1000	45	40	44	48	40	41	43	63	54	54
31	10000	41	38	41	34	31	36	36	57	49	51
31	100000	32	33	37	32	28	34	36	57	49	48
31	1000000	31	25	34	32	26	34	36	57	49	41
31	10000000	28	25	31	26	26	34	36	57	49	40
32	100	60	56	52	52	56	55	55	61	59	60
32	1000	48	43	45	41	44	42	42	52	53	55
32	10000	38	37	37	37	31	35	37	50	53	48
32	100000	33	32	34	33	31	34	37	50	53	44
32	1000000	26	29	34	29	29	34	37	50	53	44
32	10000000	23	28	30	28	23	34	37	50	53	42
33	100	57	58	56	57	55	56	55	63	60	59
33	1000	43	42	43	45	43	41	41	57	54	50
33	10000	39	34	37	37	32	28	33	55	51	49
33	100000	31	34	29	34	30	27	33	55	51	45
33	1000000	29	33	29	32	29	27	33	55	51	45
33	10000000	27	28	25	32	20	27	33	55	51	42
34	100	59	59	57	54	56	55	55	60	60	64
34	1000	43	40	43	44	41	45	42	55	50	53
34	10000	35	33	37	37	39	36	35	55	41	49
34	100000	32	30	36	32	35	32	35	55	41	48
34	1000000	32	28	31	29	27	32	35	55	41	45
34	10000000	27	25	25	26	26	32	35	55	41	38
35	100	60	56	60	59	59	56	55	66	61	62
35	1000	48	39	43	43	47	44	45	57	51	56
35	10000	40	32	36	37	33	35	31	54	47	53
35	100000	38	31	31	33	32	35	31	54	47	47
35	1000000	34	28	31	29	30	33	31	54	47	41
35	10000000	24	21	29	25	27	33	31	54	47	40
36	100	61	59	59	56	58	57	61	63	66	59
36	1000	43	39	42	40	45	41	42	53	55	54
36	10000	37	30	37	29	30	32	35	50	49	46
36	100000	30	30	36	27	28	31	35	50	49	46
36	1000000	30	30	30	26	27	31	35	50	49	44
36	10000000	29	23	23	26	25	31	35	50	49	41
37	100	55	57	55	58	58	57	53	59	62	63
37	1000	44	42	42	44	43	43	35	56	54	54
37	10000	33	40	37	38	38	34	32	51	51	49
37	100000	29	38	32	36	37	34	32	51	51	48
37	1000000	29	37	28	30	31	34	32	51	51	42
37	10000000	28	30	28	24	21	34	32	51	51	38
38	100	59	58	61	54	57	57	56	60	60	61
38	1000	47	45	43	42	39	43	42	57	51	58
38	10000	37	34	38	30	31	40	41	57	49	51
38	100000	32	28	36	28	30	38	41	57	49	46
38	1000000	31	28	36	24	28	34	41	57	49	45
38	10000000	29	27	29	20	26	34	41	57	49	43
39	100	54	59	49	56	55	60	54	66	64	62
39	1000	45	46	38	46	46	43	39	58	54	55
39	10000	37	39	36	35	35	32	30	54	50	50
39	100000	35	38	32	31	33	29	30	54	50	48
39	1000000	35	35	26	28	30	29	30	54	50	44
39	10000000	27	22	26	28	26	29	30	54	50	38
40	100	57	57	55	57	56	56	53	61	63	60
40	1000	42	45	47	43	42	39	44	59	55	57
40	10000	31	40	39	38	39	30	39	57	54	50
40	100000	30	33	36	34	35	29	39	57	54	46
40	1000000	29	30	28	29	32	29	39	57	54	44
40	10000000	29	30	25	25	27	29	39	57	54	41
41	100	58	59	58	56	54	56	57	61	62	63
41	1000	48	43	43	47	40	45	39	54	54	54
41	10000	36	34	36	33	31	43	36	52	46	48
41	100000	29	34	30	26	30	40	36	52	46	44
41	1000000	29	34	26	26	30	40	36	52	46	43
41	10000000	24	27	26	23	30	40	36	52	46	43
42	100	58	56	54	59	56	57	55	60	65	61
42	1000	46	45	41	48	49	48	46	56	54	54
42	10000	38	39	37	39	37	36	39	51	52	50
42	100000	37	38	33	32	30	35	39	51	52	48
42	1000000	30	35	28	30	28	35	39	51	52	46
42	10000000	22	34	26	26	25	35	39	51	52	45
43	100	57	56	52	59	56	57	55	66	61	57
43	1000	47	45	43	45	43	46	43	55	54	52
43	10000	36	42	40	36	34	39	37	49	54	48
43	100000	36	35	37	34	31	36	37	49	54	44
43	1000000	29	28	37	32	31	36	37	49	54	41
43	10000000	29	25	32	28	24	36	37	49	54	39
44	100	59	58	60	57	55	55	56	65	65	64
44	1000	41	46	43	43	46	43	42	57	51	56
44	10000	34	40	35	31	38	36	37	55	50	47
44	100000	32	36	32	26	35	32	37	55	50	43
44	1000000	32	34	32	25	31	31	37	55	50	37
44	10000000	22	32	30	24	25	31	37	55	50	35
45	100	53	56	56	60	57	60	61	62	62	62
45	1000	42	45	43	43	44	41	37	53	53	53
45	10000	36	36	36	38	34	36	34	48	47	47
45	100000	31	34	35	31	31	36	34	48	47	46
45	1000000	30	33	28	30	31	36	34	48	47	44
45	10000000	24	25	27	30	21	36	34	48	47	42
46	100	58	58	55	58	54	54	58	65	59	62
46	1000	47	44	41	45	45	41	41	57	50	54
46	10000	33	36	37	37	36	37	34	56	46	47
46	100000	30	36	35	33	32	31	34	56	46	45
46	1000000	26	35	31	32	28	29	34	56	46	42
46	10000000	25	29	31	25	27	29	34	56	46	41
47	100	57	55	58	58	59	61	58	64	59	60
47	1000	45	38	43	46	43	44	45	56	54	52
47	10000	31	31	34	36	34	36	42	51	46	47
47	100000	29	31	34	35	33	36	42	51	46	45
47	1000000	29	27	33	35	30	36	42	51	46	35
