Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	1	6373347	6374733	6390726	6383817	6388725	6362817	6385716	6392035	6387432	6385741	6376690	6385242
1	10	6300158	6273035	6288634	6288358	6294563	6275761	6300039	6301656	6300650	6345452	6336924	6321784
1	100	6186016	6161765	6138820	6165116	6136063	6144608	6147552	6116973	6108889	6251993	6257787	6234442
1	1000	6076656	6082052	6062434	6057932	6070649	6056487	6047250	6043560	6046034	6232493	6202428	6189237
1	10000	6034769	6048899	6035976	6035131	6025124	6038707	6032899	6017514	6020913	6200169	6188821	6166192
2	1	6361540	6371362	6367329	6363340	6368458	6365539	6373260	6357756	6395747	6395039	6377709	6368335
2	10	6274671	6284817	6292344	6287649	6269129	6265983	6282808	6276037	6300238	6345306	6307629	6290509
2	100	6154977	6153908	6143424	6141306	6143346	6130334	6121061	6113256	6113026	6274542	6235097	6227272
2	1000	6065747	6066839	6074913	6062951	6042392	6041604	6033942	6039497	6044648	6201439	6178641	6170487
2	10000	6032583	6016857	6019369	6037854	6029048	6015556	6017407	6026423	6003550	6182939	6160602	6146695
3	1	6447976	6467762	6441732	6465475	6470437	6458217	6457606	6459561	6469270	6469062	6454587	6459436
3	10	6359335	6371182	6366239	6361426	6379129	6361805	6366419	6352531	6377957	6446175	6405975	6400872
3	100	6233955	6233920	6223333	6230063	6224391	6202546	6208706	6179502	6187649	6368343	6322771	6329282
3	1000	6163694	6145648	6147031	6131736	6143635	6120364	6133215	6125907	6118821	6321808	6271105	6261260
3	10000	6109830	6108222	6104113	6100563	6106779	6104613	6118886	6106163	6086852	6276412	6248081	6245735
4	1	6415119	6409874	6409165	6415596	6400829	6399052	6414223	6415934	6413354	6405477	6393286	6408340
4	10	6312304	6311913	6320031	6316907	6308566	6304693	6320303	6319315	6335098	6347129	6345530	6344408
4	100	6193618	6196932	6194962	6173777	6167127	6166768	6165597	6148044	6136243	6285816	6266673	6264866
4	1000	6098847	6105754	6086307	6094915	6096672	6092575	6079592	6086836	6075406	6253338	6246606	6217142
4	10000	6061142	6084058	6063880	6064000	6056107	6078465	6042370	6061218	6054910	6195942	6197690	6180877
5	1	6416174	6420728	6429117	6430155	6435978	6432256	6434702	6432010	6436488	6433733	6435361	6416790
5	10	6328724	6332686	6339922	6338359	6325325	6350719	6335260	6338196	6352321	6376998	6381282	6390536
5	100	6198129	6211534	6211985	6206103	6177840	6175373	6177040	6168953	6163705	6335244	6306384	6291380
5	1000	6105723	6113580	6120362	6111431	6093855	6121614	6081674	6098889	6082913	6267361	6258848	6213993
5	10000	6075832	6061446	6101730	6057942	6059409	6084821	6070535	6069893	6061652	6229725	6217378	6212404
6	1	6368600	6371320	6370897	6366013	6355349	6348090	6379814	6361646	6379242	6360888	6381322	6376886
6	10	6280452	6281443	6288416	6269254	6262300	6260436	6278132	6276871	6305165	6318177	6317337	6317722
6	100	6139281	6141333	6161334	6136410	6141499	6102219	6110057	6118975	6085213	6242181	6234147	6238328
6	1000	6074593	6057506	6064193	6054494	6051783	6043381	6039060	6039233	6011063	6213310	6192589	6178142
6	10000	6023178	6034521	6042284	6045005	6015436	6008545	6012231	6011970	6005583	6180062	6176888	6163496
7	1	6391835	6395757	6407504	6377033	6406045	6404053	6386711	6396390	6401618	6400447	6380540	6387417
7	10	6300422	6298448	6302478	6294284	6313203	6299811	6305244	6299201	6322415	6357652	6321946	6338038
7	100	6153540	6183891	6165288	6162630	6174388	6162200	6146219	6122810	6139094	6272836	6281452	6253072
7	1000	6088819	6076469	6085367	6075662	6070938	6075799	6077899	6054672	6066533	6224254	6208274	6202539
7	10000	6067947	6052260	6053408	6065424	6054705	6032990	6043784	6034035	6040023	6190547	6199349	6193290
8	1	6364431	6387734	6367491	6383937	6384280	6379305	6376687	6385603	6382458	6368529	6378899	6375806
8	10	6288189	6295591	6282435	6283811	6288480	6288210	6275245	6283273	6294588	6324651	6327825	6317088
8	100	6157173	6159488	6150455	6151134	6126339	6156034	6132788	6127904	6085663	6262751	6231723	6226932
8	1000	6059336	6080657	6067396	6060097	6058805	6050646	6052415	6018756	6019162	6212166	6195597	6183890
8	10000	6023933	6033138	6030484	6019195	6010079	6013349	6035125	6001133	5997023	6190210	6178951	6162719
9	1	6295549	6293876	6281724	6286703	6289798	6298657	6289803	6288239	6311745	6294781	6295730	6287917
9	10	6219706	6205462	6193150	6208583	6195310	6198378	6195330	6191440	6224148	6250720	6235462	6228929
9	100	6091102	6076627	6061863	6064499	6052592	6051466	6047443	6028151	6030928	6168072	6149189	6129275
9	1000	5993352	5973837	5990843	5979235	5960089	5978189	5961279	5954212	5955647	6133531	6109745	6091072
9	10000	5939725	5947115	5935488	5947558	5932683	5969129	5946025	5932634	5936772	6097992	6095395	6065964
10	1	6369407	6354397	6370880	6361503	6364082	6366454	6368327	6370053	6364251	6362652	6365687	6362536
10	10	6266304	6259377	6290938	6282772	6276925	6278744	6271253	6275827	6290507	6303797	6315274	6307667
10	100	6148847	6139408	6135121	6118937	6120043	6123229	6107792	6100504	6098187	6262012	6239121	6222016
10	1000	6067533	6052648	6039195	6025455	6036340	6024993	6033882	6035868	6029963	6197400	6207153	6168477
10	10000	6020162	6027084	6016968	6016013	6002349	6002742	6006580	6007774	6013562	6154102	6168142	6141314
