Instance	Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	1574290	1569936	1573758	1575054	1566473	1559769	1565163	1584448	1586700	1572027
1	1000	1537174	1518938	1529843	1550788	1539112	1528327	1517417	1576273	1569766	1550025
1	10000	1502671	1505144	1491380	1506268	1506474	1500033	1496913	1550804	1544005	1538538
1	100000	1489354	1498539	1491380	1494417	1488718	1495210	1496913	1550065	1544005	1528310
1	1000000	1482915	1497993	1491380	1486885	1482416	1495210	1496913	1550065	1544005	1524507
1	10000000	1482915	1489564	1491380	1486885	1482416	1495210	1496913	1550065	1544005	1521826
2	100	1535797	1539764	1529301	1545179	1535641	1548526	1541519	1558402	1556574	1557814
2	1000	1509725	1497932	1492906	1509973	1497237	1495659	1486854	1531746	1527206	1546542
2	10000	1482442	1473928	1472842	1476154	1483858	1469851	1467088	1521681	1505594	1504879
2	100000	1454885	1463710	1468421	1475041	1464393	1459479	1467088	1516460	1505594	1500875
2	1000000	1447952	1463194	1462877	1459425	1464307	1455368	1467088	1516460	1505594	1496515
2	10000000	1447320	1460157	1455302	1452515	1464307	1455368	1467088	1516460	1505594	1490591
3	100	1506196	1508167	1519785	1507205	1503863	1499360	1506272	1525073	1522236	1524091
3	1000	1470097	1467107	1467045	1470872	1465681	1467107	1464408	1506529	1498456	1488970
3	10000	1442144	1444961	1441956	1444763	1437305	1439576	1447906	1482038	1475184	1477897
3	100000	1429352	1429021	1439800	1432643	1434256	1427888	1447906	1482038	1475184	1469093
3	1000000	1429352	1425891	1439800	1422703	1422223	1427888	1447906	1482038	1475184	1461071
3	10000000	1428294	1425891	1439800	1422703	1422223	1427888	1447906	1482038	1475184	1453988
4	100	1550234	1551265	1553490	1550163	1545020	1554233	1535398	1571097	1569228	1573640
4	1000	1515596	1505735	1507435	1503739	1501686	1512677	1501104	1542101	1539532	1535374
4	10000	1482079	1489897	1486368	1482023	1487356	1486918	1476747	1520154	1522952	1521492
4	100000	1478033	1473622	1485025	1469912	1473730	1468104	1471390	1518664	1522952	1506714
4	1000000	1466105	1473099	1467810	1469912	1467369	1462825	1471390	1518664	1522952	1494641
4	10000000	1465285	1464200	1467810	1469105	1467369	1462825	1471390	1518664	1522952	1490531
5	100	1568360	1553527	1561258	1561592	1556618	1561314	1554384	1587006	1580350	1590208
5	1000	1526485	1521958	1514801	1529272	1517326	1526200	1517279	1561150	1549718	1554007
5	10000	1499057	1496046	1490874	1490514	1496822	1489342	1486447	1538588	1549718	1544796
5	100000	1487775	1494075	1488064	1486509	1477226	1485837	1486447	1533651	1549718	1526393
5	1000000	1485756	1473211	1488064	1482632	1474345	1480402	1486447	1533651	1549718	1515314
5	10000000	1477426	1473211	1486909	1482632	1474345	1480402	1486447	1533651	1549718	1508112
6	100	1542747	1534509	1519525	1531543	1540920	1525244	1542101	1560173	1550362	1549111
6	1000	1495326	1493792	1493467	1497892	1502480	1481278	1481645	1533843	1523735	1527631
6	10000	1472959	1461805	1466152	1472710	1473123	1463053	1467183	1512212	1511073	1503252
6	100000	1462029	1456620	1451537	1463453	1458882	1455815	1462070	1512212	1511073	1493464
6	1000000	1452507	1455249	1451537	1462954	1456408	1452789	1462070	1512212	1511073	1491578
6	10000000	1448038	1455249	1451537	1452386	1456408	1452789	1462070	1512212	1511073	1482595
7	100	1562608	1560563	1538750	1560823	1564054	1561108	1545521	1581339	1577371	1584835
7	1000	1529423	1515129	1515185	1514709	1518549	1518183	1517002	1558358	1552509	1554711
7	10000	1494670	1486136	1488371	1498190	1497144	1493479	1482622	1552106	1527287	1529805
7	100000	1484509	1482451	1481046	1464503	1482714	1478596	1478914	1552106	1527287	1515344
7	1000000	1469661	1475203	1471088	1463881	1482714	1478596	1478914	1552106	1527287	1514575
7	10000000	1461828	1475203	1471088	1462519	1478605	1478596	1478914	1552106	1527287	1509189
8	100	1542618	1561262	1542853	1559411	1554321	1562245	1545822	1570814	1569754	1567945
8	1000	1510387	1517642	1505275	1518694	1522943	1515495	1510047	1546989	1544776	1542120
8	10000	1492711	1483411	1493491	1501025	1485804	1489493	1483797	1531772	1526659	1529064
8	100000	1474995	1475568	1485949	1465396	1470685	1483656	1483797	1531772	1526659	1523124
8	1000000	1470167	1475354	1467344	1465396	1467431	1483656	1483797	1531772	1526659	1509332
8	10000000	1470167	1474066	1466664	1463923	1467431	1483656	1483797	1531772	1526659	1503981
9	100	1520634	1505762	1513708	1512410	1513481	1504580	1519650	1534491	1520977	1525738
9	1000	1476074	1481124	1471845	1481510	1476242	1456596	1470469	1512318	1512606	1507429
9	10000	1446567	1454255	1443886	1454236	1444556	1441187	1441904	1486662	1476594	1490918
9	100000	1438909	1436302	1436947	1436753	1428507	1441187	1434681	1483756	1476594	1475993
9	1000000	1436879	1436302	1433193	1436753	1423662	1433905	1434681	1483756	1476594	1472122
9	10000000	1421778	1436302	1433193	1424303	1423662	1433905	1434681	1483756	1476594	1462496
10	100	1532681	1510158	1525535	1515579	1530134	1515899	1513361	1543077	1540509	1537783
10	1000	1482867	1470703	1476835	1480977	1483533	1479973	1473208	1516083	1514467	1513033
10	10000	1462395	1445764	1443767	1455512	1453756	1450436	1450206	1508235	1492677	1497137
10	100000	1443860	1435017	1441617	1447050	1444114	1444995	1450206	1508235	1492677	1483323
10	1000000	1443860	1435017	1441617	1441814	1438126	1433887	1450206	1508235	1492677	1480466
10	10000000	1434905	1434683	1441617	1438144	1432954	1433887	1450206	1508235	1492677	1477798
