Instance	Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	6350128	6346871	6368402	6346708	6353868	6381796	6346650	6373653	6378024	6402049
1	1000	6289152	6291898	6276963	6272383	6240354	6244852	6249073	6354645	6344306	6353949
1	10000	6211241	6193836	6173797	6182510	6170788	6156298	6120760	6300290	6300857	6298566
1	100000	6134920	6144317	6126823	6134808	6087368	6083415	6070542	6248006	6222987	6237569
1	1000000	6096760	6082200	6073836	6064722	6064170	6041100	6032534	6226456	6190248	6175349
2	100	6342345	6349003	6341053	6352497	6326262	6349257	6336564	6370360	6379496	6371186
2	1000	6274937	6285104	6254759	6252596	6255410	6250787	6252308	6350593	6338245	6328764
2	10000	6188331	6183982	6179056	6143425	6148342	6135527	6124209	6278858	6269634	6257609
2	100000	6131642	6100063	6110530	6102751	6082048	6080737	6034476	6256203	6234118	6198204
2	1000000	6075903	6077793	6060159	6055842	6036590	6029239	6016571	6194470	6183286	6164090
3	100	6431356	6407741	6429528	6440419	6419890	6417937	6409092	6482156	6453181	6457113
3	1000	6363676	6323361	6350894	6329970	6336240	6313710	6314235	6433210	6431828	6415683
3	10000	6267459	6262158	6272793	6257554	6234709	6236729	6216996	6360171	6354328	6355525
3	100000	6203022	6191310	6191278	6197339	6179324	6156218	6148199	6319744	6309721	6308345
3	1000000	6144723	6163735	6159315	6148479	6130970	6138254	6120210	6273560	6275656	6280961
4	100	6373595	6348079	6378069	6345001	6355493	6400256	6353558	6421975	6409133	6392847
4	1000	6327781	6290525	6313148	6281518	6285453	6266417	6255846	6365874	6380409	6377141
4	10000	6215029	6220952	6216453	6220418	6193104	6177467	6164452	6316441	6318215	6311546
4	100000	6153344	6146361	6147560	6152115	6118227	6108418	6090586	6267741	6274834	6244310
4	1000000	6103065	6105713	6105652	6088035	6088187	6079583	6075246	6245510	6205973	6213139
5	100	6387528	6390503	6409600	6398932	6372671	6426194	6387826	6419874	6443209	6447179
5	1000	6310380	6313155	6321548	6301757	6317012	6293344	6269525	6411609	6403254	6409711
5	10000	6223430	6216861	6229870	6218666	6190624	6215454	6167769	6355492	6323054	6310418
5	100000	6179102	6158341	6171392	6131855	6132627	6119197	6102052	6279108	6263291	6277973
5	1000000	6136187	6120495	6118025	6111189	6100901	6099977	6065823	6260033	6242765	6226057
6	100	6338178	6319366	6316846	6331788	6316622	6344530	6333436	6392148	6378443	6378287
6	1000	6258756	6269850	6260505	6239017	6235377	6242267	6224541	6343305	6355855	6312800
6	10000	6199910	6179491	6183484	6158051	6140808	6133488	6133247	6286489	6292932	6273117
6	100000	6115873	6110288	6126378	6093433	6090744	6071582	6029332	6220491	6205887	6200515
6	1000000	6085338	6042799	6047798	6060923	6050415	6008474	6035216	6164649	6167403	6182975
7	100	6390363	6405525	6341755	6387803	6358478	6358267	6376270	6399701	6394083	6398102
7	1000	6301004	6306675	6289798	6255032	6267367	6267876	6261699	6393347	6368397	6353672
7	10000	6204178	6197907	6186763	6172079	6178690	6173117	6141964	6312103	6299673	6281737
7	100000	6150944	6124091	6126698	6119840	6119523	6100139	6082988	6263677	6220861	6232237
7	1000000	6089964	6096907	6094770	6079012	6074679	6066311	6041730	6219345	6209478	6189930
8	100	6362370	6373359	6326907	6337733	6353156	6322388	6342696	6388280	6383761	6383483
8	1000	6267460	6239396	6280749	6259706	6261676	6249422	6224487	6357338	6349100	6353553
8	10000	6196585	6164928	6204963	6169460	6166707	6146648	6121573	6314722	6271164	6266988
