Instance	Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)
1	100	6347510	6341958	6354603	6363280	6347404
1	1000	6262951	6259530	6252769	6232590	6248422
1	10000	6158152	6152931	6173551	6153268	6145382
1	100000	6078682	6089090	6080637	6076276	6073978
1	1000000	6044771	6042042	6041016	6043658	6029435
2	100	6342978	6349080	6290942	6308178	6323965
2	1000	6240898	6240264	6232197	6246706	6223957
2	10000	6165524	6129637	6155841	6119147	6126622
2	100000	6085715	6055982	6064946	6050644	6073310
2	1000000	6041589	6040624	6036493	6032009	6020249
3	100	6448934	6434980	6409274	6412279	6393082
3	1000	6315703	6335959	6344341	6312743	6310870
3	10000	6243507	6231217	6196917	6228964	6220355
3	100000	6169859	6166567	6163314	6142808	6137429
3	1000000	6118039	6127561	6134879	6084622	6118336
4	100	6370469	6368307	6386385	6372623	6360585
4	1000	6284674	6277518	6258625	6300082	6285338
4	10000	6186926	6198878	6192802	6150598	6170181
4	100000	6107065	6125211	6109586	6081363	6100649
4	1000000	6066664	6062642	6079650	6070273	6064560
5	100	6411377	6380567	6395119	6346937	6382843
5	1000	6316076	6290148	6297765	6289407	6293204
5	10000	6219358	6184418	6198466	6197039	6182874
5	100000	6123548	6131409	6107985	6108785	6117503
5	1000000	6076494	6094585	6060573	6074133	6079905
6	100	6317411	6363491	6303108	6335519	6319787
6	1000	6258919	6262548	6247287	6258323	6230672
6	10000	6128170	6136708	6135426	6137259	6093697
6	100000	6074294	6060018	6057084	6068616	6071190
6	1000000	6034003	6036513	6030672	6036693	6021939
7	100	6383336	6375725	6343025	6358205	6381187
7	1000	6311854	6257675	6263249	6269757	6247304
7	10000	6170306	6179677	6147481	6162126	6149374
7	100000	6094160	6098392	6083825	6082252	6067298
7	1000000	6054364	6040330	6045509	6051895	6057193
8	100	6338262	6340271	6355726	6335275	6357685
8	1000	6241999	6226448	6238079	6245680	6210144
8	10000	6150716	6140330	6133413	6170134	6125410
8	100000	6092048	6084894	6070083	6075894	6060597
8	1000000	6044514	6053382	6022922	6037021	6024042
9	100	6252957	6267010	6278012	6270507	6221513
9	1000	6161827	6163131	6159339	6159622	6143269
9	10000	6052297	6077159	6068836	6068306	6058289
9	100000	6009196	5981660	6002066	5972638	5988074
9	1000000	5966383	5950977	5955627	5961654	5973985
10	100	6323948	6326886	6323862	6322247	6310624
10	1000	6235449	6227698	6246188	6225671	6203674
10	10000	6125919	6106938	6125960	6107425	6106697
10	100000	6071531	6046216	6058761	6071837	6067992
10	1000000	6010574	6024174	6027026	6011293	6021549
11	100	6312790	6295854	6343896	6303664	6287008
11	1000	6216675	6221278	6228729	6207255	6197415
11	10000	6134496	6120117	6095857	6119618	6102946
11	100000	6057599	6051566	6043989	6042132	6051456
11	1000000	6004759	6007468	6012062	6015964	5991425
12	100	6378331	6397091	6412555	6366382	6384153
