Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	1582336	1580118	1576131	1592212	1580891	1572861	1571833	1590231	1592654	1592003
1	1000	1548752	1563184	1536275	1542683	1551608	1559999	1542954	1584707	1577157	1576686
1	10000	1526106	1519629	1520655	1510415	1504798	1516730	1515507	1557550	1552245	1545747
1	100000	1500102	1488613	1489002	1506996	1502858	1507647	1500479	1549451	1531396	1540971
1	1000000	1481873	1489808	1482818	1489381	1486114	1484354	1482304	1536989	1524802	1529709
1	10000000	1477706	1477079	1471452	1480991	1478832	1479702	1474407	1524420	1518105	1513055
2	100	1547730	1549704	1547418	1554625	1546717	1562604	1549891	1556161	1564528	1567535
2	1000	1528989	1514374	1515353	1524394	1520729	1511150	1520079	1546156	1541148	1538199
2	10000	1494819	1488479	1486804	1500576	1487305	1488386	1479503	1528925	1524249	1509949
2	100000	1471239	1459248	1467190	1468892	1465320	1465293	1464072	1515691	1504138	1501617
2	1000000	1467160	1458629	1452165	1463989	1468345	1461301	1454229	1500196	1500822	1490563
2	10000000	1451970	1451856	1451520	1447374	1455069	1450649	1447133	1497465	1489273	1483616
3	100	1512733	1513310	1505524	1525259	1522350	1507380	1510910	1530904	1519797	1536147
3	1000	1495944	1487303	1482409	1491925	1488977	1479618	1481644	1513183	1516991	1512293
3	10000	1456672	1458399	1443230	1458129	1453159	1457538	1442608	1504363	1490993	1491873
3	100000	1440142	1426749	1434090	1444614	1438130	1431941	1438437	1471006	1475933	1475228
3	1000000	1432215	1427861	1425952	1429365	1429672	1421436	1423078	1473802	1462313	1456617
3	10000000	1421628	1419872	1417172	1422157	1419592	1417987	1409596	1464418	1452963	1450619
4	100	1566377	1563042	1549677	1570999	1568086	1560272	1549609	1569145	1569549	1572906
4	1000	1547362	1519891	1527585	1531489	1528396	1521340	1510737	1562051	1555653	1556327
4	10000	1499911	1492903	1497462	1498195	1506932	1500494	1494462	1530598	1532271	1535893
4	100000	1482202	1477798	1478309	1485253	1478171	1480910	1466204	1516378	1520720	1513343
4	1000000	1474600	1468007	1461879	1472376	1467899	1460600	1466786	1508621	1510017	1503617
4	10000000	1465380	1456847	1451054	1461055	1460900	1457321	1457502	1498130	1502684	1490612
5	100	1582959	1572993	1574264	1572594	1573963	1560213	1573719	1589721	1586816	1581244
5	1000	1560471	1537630	1536144	1554497	1548459	1540848	1540881	1575329	1569962	1569306
5	10000	1523070	1512625	1509981	1524889	1514857	1514969	1506915	1559462	1540926	1554671
5	100000	1504902	1496454	1489558	1493067	1490842	1492905	1483466	1537054	1535723	1527591
5	1000000	1486589	1487472	1482761	1490908	1482680	1483082	1480960	1520734	1520964	1514811
5	10000000	1476838	1473836	1474968	1474360	1476213	1468477	1471691	1513597	1517891	1505477
6	100	1546306	1542733	1542092	1553019	1546044	1539754	1535023	1553072	1557744	1559270
6	1000	1519893	1516192	1509725	1513334	1512029	1500902	1520387	1537781	1534047	1535567
6	10000	1480265	1487474	1468020	1489429	1482797	1486835	1469534	1516730	1518659	1513531
6	100000	1461141	1461751	1458198	1476791	1461831	1463352	1447500	1505201	1489151	1500935
6	1000000	1449898	1454553	1447082	1456245	1462455	1450339	1450421	1498853	1492030	1489508
6	10000000	1447957	1438931	1443586	1443031	1445037	1446280	1436340	1490118	1481953	1478823
7	100	1576926	1568294	1568518	1566591	1568611	1572512	1579895	1594138	1581521	1586156
7	1000	1530618	1542409	1540611	1537093	1539136	1537623	1529941	1568023	1568852	1569954
7	10000	1513455	1505096	1497740	1510684	1508426	1509834	1499456	1550300	1548312	1540475
7	100000	1495960	1482873	1486753	1499043	1482563	1486593	1484324	1540428	1521785	1523849
7	1000000	1476143	1467135	1473740	1478065	1479009	1466022	1480903	1518245	1517071	1515983
7	10000000	1470795	1465613	1463366	1465660	1468607	1466140	1466671	1513858	1498607	1502861
8	100	1570136	1571633	1568910	1567537	1566370	1570537	1555040	1571497	1582624	1575369
8	1000	1540643	1527240	1530416	1537064	1525999	1528213	1519929	1567365	1556120	1569910
8	10000	1509407	1498051	1492420	1506532	1505332	1501950	1493281	1555148	1537626	1531406
8	100000	1486833	1486264	1482295	1491032	1479346	1484472	1476923	1534930	1532567	1522082
8	1000000	1475362	1467483	1468248	1480536	1478330	1473653	1470862	1521726	1512952	1501667
8	10000000	1465111	1461707	1460779	1459752	1466544	1463010	1462573	1505926	1503284	1501466
9	100	1527440	1526205	1511492	1530479	1536688	1515028	1532918	1543061	1542863	1528918
9	1000	1494048	1487028	1490488	1495866	1494783	1492497	1485522	1527253	1523195	1513214
9	10000	1465550	1462288	1467907	1463550	1463472	1457579	1452008	1506348	1497744	1491668
9	100000	1442001	1442774	1435666	1446523	1444614	1446137	1433666	1487722	1483492	1477629
9	1000000	1432524	1432676	1435265	1440282	1429063	1418958	1432713	1470489	1475920	1467900
9	10000000	1427387	1426328	1422446	1420923	1427531	1421693	1419504	1466392	1459699	1457158
10	100	1533858	1527439	1520101	1523273	1525195	1525587	1520327	1551474	1546746	1540068
10	1000	1507310	1501746	1496242	1502426	1501036	1495595	1494572	1530141	1522083	1514596
10	10000	1472543	1478693	1462862	1474068	1475402	1459671	1474408	1503423	1503716	1502049
10	100000	1450827	1452106	1447298	1456225	1441856	1451035	1448735	1496668	1494282	1485080
10	1000000	1435171	1434212	1435633	1438967	1439963	1435241	1433278	1485226	1482820	1466133
10	10000000	1430921	1430260	1427357	1433626	1429832	1431275	1424875	1470617	1469546	1467172
11	100	1520992	1518120	1507139	1516582	1527602	1516611	1517088	1531042	1530604	1526695
11	1000	1490630	1489810	1476207	1483290	1488730	1477909	1463585	1515849	1516457	1512335
11	10000	1462921	1450506	1447257	1460850	1453579	1442807	1436898	1494472	1480841	1475705
11	100000	1439219	1430263	1432243	1439420	1431592	1431427	1426387	1484633	1464839	1471100
11	1000000	1412684	1419563	1419216	1421109	1427429	1419868	1419271	1468734	1466874	1461597
11	10000000	1415478	1415176	1414383	1415243	1414150	1411713	1410866	1463142	1446812	1445144
12	100	1550334	1555543	1540276	1549356	1544616	1538236	1536033	1557066	1570604	1563146
12	1000	1522072	1510449	1509747	1527997	1525898	1504175	1513769	1546114	1536611	1542741
12	10000	1491873	1485867	1477272	1488157	1482510	1485850	1485060	1529435	1531129	1516456
12	100000	1467696	1458992	1464698	1482935	1464651	1469169	1466054	1511625	1512137	1508906
12	1000000	1459281	1454196	1455367	1460054	1446559	1442577	1449135	1503825	1501108	1491329
12	10000000	1448447	1445881	1446381	1447124	1447563	1443613	1444174	1492369	1486826	1479390
13	100	1552067	1551860	1558994	1560152	1555051	1553460	1556157	1570718	1575785	1565116
13	1000	1526864	1520426	1512687	1527373	1522335	1515949	1507118	1564368	1553400	1553392
13	10000	1501681	1493066	1490188	1500543	1497452	1494065	1492210	1534293	1535298	1535677
13	100000	1486723	1474391	1467264	1474452	1479224	1471510	1478776	1524478	1502814	1514637
13	1000000	1473382	1466961	1460818	1468615	1459580	1462781	1463029	1512922	1504948	1496979
13	10000000	1453939	1453513	1454121	1448162	1450304	1454334	1450749	1498597	1493738	1483296
14	100	1495359	1481637	1495630	1498947	1497984	1489117	1487848	1505825	1505270	1497451
14	1000	1461211	1449824	1450513	1457900	1463102	1443903	1445887	1490697	1476917	1486322
14	10000	1444563	1432343	1422455	1430353	1432016	1428113	1426840	1472893	1469718	1457437
14	100000	1410994	1406921	1402566	1411994	1410402	1404389	1401890	1459904	1443941	1440474
14	1000000	1395422	1394316	1389450	1404423	1397098	1391824	1392211	1444034	1434451	1431479
14	10000000	1392862	1385446	1382348	1389976	1386660	1385301	1387993	1431912	1425916	1426031
15	100	1580491	1590858	1584011	1589773	1579665	1601751	1585622	1593697	1598041	1599780
15	1000	1568510	1560144	1553422	1545845	1554443	1547450	1541950	1586055	1579135	1563165
15	10000	1533877	1527149	1515462	1528087	1521286	1530101	1516922	1566515	1557428	1558623
15	100000	1517513	1506282	1508816	1494451	1509937	1507502	1493493	1558055	1542414	1541274
15	1000000	1500634	1494345	1492869	1495484	1500732	1489693	1490203	1540849	1540646	1532712
15	10000000	1484324	1488421	1477792	1486828	1487945	1484465	1485195	1529637	1528251	1517258
16	100	1524918	1531538	1522631	1527056	1520464	1513085	1519232	1542011	1536782	1536460
16	1000	1498990	1499557	1479348	1496015	1495599	1487793	1484618	1535288	1519707	1523769
16	10000	1476538	1463981	1443309	1470756	1466220	1456316	1446810	1509179	1495713	1500569
16	100000	1447806	1434264	1440732	1447480	1451123	1440342	1434069	1487433	1470746	1477359
16	1000000	1433156	1430710	1430389	1436327	1431818	1430408	1432893	1481598	1474855	1470785
16	10000000	1417899	1421346	1421582	1422733	1416891	1421464	1413821	1469213	1462876	1459139
17	100	1548463	1548441	1547578	1535652	1549327	1533508	1548319	1558859	1556929	1560119
17	1000	1511569	1503493	1511475	1504657	1504565	1516658	1514083	1544845	1546929	1538091
17	10000	1491987	1484070	1481849	1482586	1491919	1486274	1483672	1516519	1515839	1523494
17	100000	1474221	1461005	1462215	1472011	1460967	1469180	1450834	1507321	1488735	1503767
17	1000000	1454533	1448435	1449052	1455436	1455045	1453922	1452107	1501772	1493718	1487248
17	10000000	1443770	1444370	1439435	1441079	1438340	1445703	1441540	1492034	1483527	1481352
18	100	1591516	1584557	1572627	1572216	1585349	1583952	1577101	1599516	1590050	1594451
18	1000	1564303	1556983	1535607	1559839	1551079	1546569	1540325	1576000	1574439	1590215
18	10000	1529011	1515374	1513725	1527426	1522149	1512829	1511839	1562920	1548892	1559913
18	100000	1510614	1502963	1491104	1509733	1500186	1491543	1492167	1546785	1531025	1545957
18	1000000	1492050	1491220	1484969	1491300	1497077	1484942	1483419	1538735	1531604	1520276
18	10000000	1481807	1482683	1480904	1481016	1481718	1477538	1471663	1524981	1512500	1517434
19	100	1538522	1530476	1525565	1535565	1535551	1527611	1528940	1548923	1539813	1541184
19	1000	1510893	1505236	1497836	1505821	1482120	1491232	1489962	1537345	1522623	1536488
19	10000	1486187	1462484	1461784	1475469	1465803	1460760	1459245	1515950	1502635	1507518
19	100000	1453938	1435621	1447793	1449015	1446400	1451283	1445720	1494605	1487771	1486485
19	1000000	1438513	1435390	1430550	1440011	1440672	1434869	1431444	1484824	1477668	1471147
19	10000000	1421710	1423673	1425584	1429964	1428738	1428955	1425216	1472881	1471681	1460780
20	100	1521433	1516373	1522138	1513924	1503877	1506725	1514750	1528174	1531615	1527442
20	1000	1494631	1482659	1474282	1483329	1477995	1479042	1483069	1517420	1499229	1516052
20	10000	1457277	1450553	1435195	1463829	1455090	1445279	1449099	1493108	1485291	1476610
20	100000	1436166	1432199	1423397	1442310	1433708	1432754	1423577	1477736	1471481	1467332
20	1000000	1429124	1420205	1411429	1429468	1421373	1422746	1423677	1473450	1454167	1456372
20	10000000	1414540	1411561	1410723	1414130	1416108	1413314	1409898	1457584	1446364	1443923
21	100	1585767	1565581	1575237	1578794	1586335	1574013	1578139	1601452	1585612	1594742
21	1000	1562256	1547322	1542474	1544884	1547660	1542463	1547091	1568102	1578839	1567444
21	10000	1525759	1518602	1509545	1524197	1525834	1516181	1506369	1561423	1552570	1546552
21	100000	1503947	1496711	1493227	1510555	1505327	1506768	1495340	1545986	1539442	1535180
21	1000000	1490645	1486707	1486846	1490181	1491901	1490329	1488937	1537703	1527833	1523389
21	10000000	1487419	1482278	1478421	1476721	1480039	1481828	1477543	1520993	1523905	1516305
22	100	1543702	1518852	1520956	1546044	1538726	1539091	1531186	1549316	1552418	1556106
22	1000	1510895	1510339	1501477	1506868	1511056	1501330	1496992	1541124	1519306	1538302
22	10000	1480427	1478194	1473388	1475296	1478953	1477469	1467063	1522068	1501566	1517704
22	100000	1461171	1453666	1449554	1455731	1456475	1461400	1448484	1499984	1490682	1496334
22	1000000	1447439	1441622	1446669	1450614	1451230	1443543	1446295	1491352	1489519	1475922
