MEANS
Generations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	1177.94	1180.27	1181.12	1179.98	1181.13	1182.81	1183.62	1180.90	1180.09	1178.91
10	1099.80	1101.30	1102.02	1101.73	1102.96	1108.81	1112.65	1141.03	1133.28	1128.02
100	986.64	980.80	975.43	969.46	963.13	963.44	952.12	1079.74	1063.88	1056.89
1000	915.93	914.82	910.81	907.14	904.81	901.05	894.72	1045.92	1026.63	1016.78
10000	891.10	888.88	888.85	887.46	885.09	879.90	877.43	1025.20	1009.62	995.23

STDEVS
Generations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	7.57	6.75	6.94	8.15	7.08	7.48	7.18	8.40	6.85	8.37
10	7.94	7.43	7.47	7.54	7.80	6.82	6.93	9.45	8.29	8.81
100	8.11	9.66	8.61	8.02	8.45	8.61	7.94	10.36	9.30	9.65
1000	9.23	8.78	8.67	10.15	9.90	9.89	9.38	9.62	9.30	9.51
10000	8.23	10.41	10.25	9.23	8.99	9.52	9.35	9.14	8.83	8.79

Wilcoxon ranksum P-val for column compared to Swap
Generations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	0.0000	0.0001	0.0046	0.0003	0.0046	0.3440	1.0000	0.0178	0.0001	0.0000
10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0591	1.0000	0.0000	0.0000	0.0000
