MEANS
Generations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)	Swap	Insertion	Reversal	Scramble
1	1182.08	1181.29	1183.54	1184.01	1183.94	1183.62	1180.90	1180.09	1178.91
10	1102.96	1104.94	1113.63	1110.44	1110.41	1112.65	1141.03	1133.28	1128.02
100	957.30	954.74	964.94	956.69	952.20	952.12	1079.74	1063.88	1056.89
1000	902.04	901.65	904.52	898.76	896.23	894.72	1045.92	1026.63	1016.78
10000	885.24	886.98	885.33	879.17	879.57	877.43	1025.20	1009.62	995.23

STDEVS
Generations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)	Swap	Insertion	Reversal	Scramble
1	7.07	7.88	6.62	6.45	7.61	7.18	8.40	6.85	8.37
10	7.65	7.00	6.23	7.26	7.43	6.93	9.45	8.29	8.81
100	8.21	7.65	6.66	7.47	7.79	7.94	10.36	9.30	9.65
1000	9.87	9.57	9.73	8.90	10.11	9.38	9.62	9.30	9.51
10000	9.53	9.30	9.85	10.64	9.02	9.35	9.14	8.83	8.79

Wilcoxon ranksum P-val for column compared to Swap
Generations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)	Swap	Insertion	Reversal	Scramble
1	0.0810	0.0162	0.4727	0.9911	0.8127	1.0000	0.0178	0.0001	0.0000
10	0.0000	0.0000	0.2392	0.0191	0.0248	1.0000	0.0000	0.0000	0.0000
100	0.0000	0.0142	0.0000	0.0001	0.9644	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0000	0.0000	0.0010	0.2633	1.0000	0.0000	0.0000	0.0000
10000	0.0000	0.0000	0.0000	0.3759	0.3086	1.0000	0.0000	0.0000	0.0000
