MEANS
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	261.06	258.04	255.92	261.29	257.82	258.04	255.90	276.88	272.27	273.00
1000	230.04	224.55	220.59	230.10	226.51	224.02	219.37	258.63	250.00	249.14
10000	206.61	203.63	201.67	205.69	204.02	202.45	198.45	247.14	237.57	232.96
100000	197.71	196.24	197.16	195.71	191.24	195.63	198.16	246.67	237.18	225.10
1000000	192.14	192.96	188.41	191.80	188.33	192.94	198.16	246.67	237.18	220.16
10000000	188.86	190.67	183.88	188.43	186.08	192.94	198.16	246.67	237.18	216.37

STDEVS
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	5.54	4.91	6.42	5.00	5.73	5.62	5.95	5.84	4.52	5.90
1000	4.74	4.41	5.09	5.02	4.78	4.47	5.11	6.33	4.61	6.19
10000	5.21	4.62	5.79	4.92	4.39	4.11	29.23	5.00	5.16	5.04
100000	4.49	5.10	5.49	5.29	28.19	4.80	29.23	5.47	5.17	5.38
1000000	5.46	5.06	28.13	5.40	27.69	5.25	29.23	5.47	5.17	5.24
10000000	5.15	5.17	38.58	5.05	27.47	5.25	29.23	5.47	5.17	4.76

Wilcoxon ranksum P-val for column compared to Swap
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.0001	0.0929	0.7038	0.0000	0.1249	0.1083	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0000	0.1083	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10000	0.0001	0.0862	0.4599	0.0003	0.0542	0.6907	1.0000	0.0000	0.0000	0.0000
100000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
1000000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10000000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
