MEANS
Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	1155.49	1153.22	1153.54	1149.08	1149.57	1144.38	1143.72	1185.78	1181.22	1179.68
1000	1092.84	1087.26	1083.80	1080.25	1070.88	1064.41	1058.49	1153.47	1148.47	1147.25
10000	1019.36	1015.85	1010.03	1001.00	991.20	981.89	964.86	1106.66	1092.91	1093.17
100000	961.55	953.76	948.33	939.83	932.12	920.61	906.23	1059.11	1044.75	1040.88
1000000	920.59	914.63	910.64	903.01	897.25	887.27	877.61	1032.38	1011.59	1009.24

STDEVS
Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	11.37	13.22	11.76	13.66	13.46	14.23	17.37	10.66	9.00	9.20
1000	11.94	10.41	9.98	10.49	10.30	11.65	10.07	10.79	10.63	10.89
10000	9.66	8.97	8.69	8.77	9.89	9.16	9.56	11.93	11.67	10.31
100000	9.26	8.65	9.22	9.25	8.48	8.36	9.20	11.49	9.47	9.18
1000000	7.98	7.98	7.70	8.16	7.74	7.58	7.05	8.91	8.84	9.82

Wilcoxon ranksum P-val for column compared to Swap
Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.0000	0.0000	0.0000	0.0233	0.0064	0.4598	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	1.0000	0.0000	0.0000	0.0000
10000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
100000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
1000000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
