MEANS
Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)	Swap	Insertion	Reversal	Scramble
100	1147.67	1145.21	1144.25	1143.56	1138.45	1143.72	1185.78	1181.22	1179.68
1000	1070.48	1066.01	1066.05	1062.44	1058.63	1058.49	1153.47	1148.47	1147.25
10000	985.41	979.51	975.69	970.22	969.97	964.86	1106.66	1092.91	1093.17
100000	922.32	917.84	914.28	910.42	908.07	906.23	1059.11	1044.75	1040.88
1000000	889.92	877.49	883.21	880.95	878.69	877.61	1032.38	1011.59	1009.24

STDEVS
Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)	Swap	Insertion	Reversal	Scramble
100	13.77	13.87	13.80	16.13	15.88	17.37	10.66	9.00	9.20
1000	10.13	10.80	10.30	10.82	12.72	10.07	10.79	10.63	10.89
10000	8.53	8.80	8.28	8.78	9.17	9.56	11.93	11.67	10.31
100000	9.17	7.82	7.63	8.78	8.95	9.20	11.49	9.47	9.18
1000000	7.51	89.42	8.15	7.51	7.78	7.05	8.91	8.84	9.82

Wilcoxon ranksum P-val for column compared to Swap
Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)	Swap	Insertion	Reversal	Scramble
100	0.0541	0.4735	0.9436	0.9328	0.0303	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0000	0.0000	0.0025	0.9782	1.0000	0.0000	0.0000	0.0000
10000	0.0000	0.0000	0.0000	0.0002	0.0007	1.0000	0.0000	0.0000	0.0000
100000	0.0000	0.0000	0.0000	0.0008	0.1464	1.0000	0.0000	0.0000	0.0000
1000000	0.0000	0.0000	0.0000	0.0011	0.3163	1.0000	0.0000	0.0000	0.0000
