MEANS
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	270.14	265.39	264.55	267.96	266.65	265.94	263.78	279.82	278.14	277.65
1000	245.88	238.16	234.78	242.06	239.82	236.92	232.31	265.45	263.45	261.69
10000	218.24	211.33	208.35	216.29	213.80	210.47	204.71	248.90	243.24	242.20
100000	191.59	184.41	185.49	199.00	195.84	192.18	189.45	236.53	228.10	228.29
1000000	167.35	155.84	137.65	160.04	155.53	148.20	145.82	227.65	221.47	218.55
10000000	96.94	7.35	10.80	44.53	20.67	14.45	3.67	218.94	214.06	209.24

STDEVS
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	5.96	6.97	6.37	5.87	6.38	5.30	5.34	4.52	3.95	4.32
1000	5.37	6.31	4.73	5.26	5.57	4.76	4.84	5.18	5.33	6.00
10000	4.55	3.84	4.91	3.74	4.35	3.55	3.74	5.00	4.26	5.17
100000	32.90	40.51	28.99	3.40	3.78	3.47	3.62	4.28	4.59	4.30
1000000	58.10	66.76	79.06	65.01	65.69	71.49	73.07	3.29	3.59	3.16
10000000	89.34	35.98	42.72	77.69	55.24	48.98	25.71	2.97	2.56	2.63

Wilcoxon ranksum P-val for column compared to Swap
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.0000	0.0793	0.5388	0.0002	0.0138	0.0491	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0000	0.0137	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
100000	0.0000	0.0000	0.0964	0.0000	0.0000	0.0008	1.0000	0.0000	0.0000	0.0000
1000000	0.0000	0.0060	0.4997	0.0000	0.0018	0.0922	1.0000	0.0000	0.0000	0.0000
10000000	0.0000	0.8618	0.7304	0.0380	0.3012	0.6089	1.0000	0.0000	0.0000	0.0000
