MEANS
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	59.47	57.59	56.98	58.94	57.92	57.27	57.04	62.31	62.49	62.31
1000	50.24	47.82	46.63	49.29	48.53	47.45	46.61	55.69	55.76	56.98
10000	38.57	34.90	33.51	37.92	35.78	34.41	31.51	47.27	45.39	48.49
100000	28.45	24.53	23.27	26.86	25.71	23.59	21.65	41.84	37.78	42.00
1000000	19.69	18.37	15.59	19.02	18.57	17.45	15.57	37.47	34.49	37.06
10000000	13.73	12.43	11.33	13.10	12.69	11.45	10.71	34.08	30.63	32.18

STDEVS
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	1.56	2.06	2.33	2.48	1.91	2.68	2.33	2.10	1.88	1.45
1000	2.53	2.40	2.31	2.04	2.26	2.17	1.99	2.43	2.23	2.07
10000	2.15	2.41	2.33	2.24	2.39	2.24	2.14	2.68	2.93	2.36
100000	2.44	2.87	2.89	3.00	3.08	3.29	3.53	2.28	2.44	2.35
1000000	2.82	1.91	3.23	3.36	2.80	3.16	2.97	1.68	1.86	1.70
10000000	2.37	3.38	3.16	2.31	2.74	2.64	3.37	1.40	1.74	1.89

Wilcoxon ranksum P-val for column compared to Swap
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.0000	0.3012	0.8590	0.0004	0.0799	0.6803	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0196	0.8898	0.0000	0.0001	0.0524	1.0000	0.0000	0.0000	0.0000
10000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
100000	0.0000	0.0001	0.0160	0.0000	0.0000	0.0041	1.0000	0.0000	0.0000	0.0000
1000000	0.0000	0.0000	0.9575	0.0000	0.0000	0.0025	1.0000	0.0000	0.0000	0.0000
10000000	0.0000	0.0022	0.3631	0.0001	0.0002	0.5065	1.0000	0.0000	0.0000	0.0000
