MEANS
Generations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	1190.04	1188.59	1190.68	1189.69	1189.95	1190.06	1190.29	1188.48	1188.32	1188.10
10	1160.44	1158.89	1159.97	1161.34	1160.12	1161.49	1162.58	1170.27	1171.30	1170.92
100	1094.49	1090.32	1088.69	1082.29	1078.11	1073.73	1066.58	1137.52	1139.11	1138.65
1000	1020.17	1015.92	1009.30	1002.53	996.38	987.14	975.53	1090.98	1080.99	1079.86
10000	950.25	947.00	941.40	935.96	928.26	922.41	912.62	1049.59	1034.52	1030.71

STDEVS
Generations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	7.07	7.70	7.38	6.64	7.10	8.09	7.21	7.49	7.00	7.35
10	7.44	8.57	7.49	7.70	7.05	8.51	7.36	7.72	8.00	7.55
100	9.67	9.36	8.85	8.33	8.76	8.59	9.82	9.35	9.56	9.71
1000	8.62	8.61	9.20	8.62	8.44	9.08	9.92	10.81	10.42	11.38
10000	8.06	8.57	9.09	7.82	8.75	8.62	9.71	10.36	11.89	10.13

Wilcoxon ranksum P-val for column compared to Swap
Generations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	0.7089	0.0870	0.7974	0.3510	0.6260	0.9664	1.0000	0.1008	0.0413	0.0435
10	0.0366	0.0013	0.0093	0.2214	0.0054	0.3297	1.0000	0.0000	0.0000	0.0000
100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
