MEANS
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	57.39	57.04	56.35	56.96	56.47	56.73	55.65	62.88	61.61	61.06
1000	45.59	43.24	42.51	44.22	43.67	42.88	41.90	55.80	53.92	54.12
10000	36.33	35.69	36.12	35.57	34.92	35.80	36.98	52.55	50.00	49.04
100000	32.80	33.24	33.43	31.76	31.80	33.31	36.98	52.45	50.00	46.06
1000000	29.86	30.61	30.92	28.78	28.61	32.63	36.98	52.45	50.00	43.02
10000000	26.41	26.80	28.59	25.20	25.08	32.63	36.98	52.45	50.00	41.10

STDEVS
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	2.37	2.10	2.59	2.31	1.68	2.19	2.39	2.35	2.17	2.06
1000	2.54	2.34	1.82	2.24	2.19	2.08	2.77	3.11	2.95	1.90
10000	2.97	2.76	2.49	2.61	2.87	2.84	3.20	3.11	3.99	1.90
100000	3.03	2.64	2.51	2.95	2.89	2.97	3.20	3.20	3.99	2.09
1000000	2.68	3.06	3.01	3.35	2.57	2.91	3.20	3.20	3.99	2.61
10000000	2.72	2.65	2.91	2.80	3.02	2.91	3.20	3.20	3.99	2.57

Wilcoxon ranksum P-val for column compared to Swap
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.0006	0.0011	0.1099	0.0046	0.0467	0.0185	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0198	0.4471	0.0002	0.0030	0.1249	1.0000	0.0000	0.0000	0.0000
10000	0.4078	0.0503	0.2022	0.0383	0.0022	0.0757	1.0000	0.0000	0.0000	0.0000
100000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
1000000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10000000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
