MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6369304.35	6369507.42	6369666.03	6369978.84	6372215.20	6371634.15	6372338.13	6374385.44	6375742.41	6374356.30	6372716.81	6370373.81
10	6279856.26	6281007.00	6278405.22	6278523.56	6278178.91	6278623.25	6278643.05	6282156.95	6291925.04	6326718.11	6317255.22	6313329.10
100	6148297.48	6147388.85	6144406.45	6138253.44	6132335.65	6125907.46	6117607.24	6107382.37	6103722.35	6261312.04	6235132.06	6225736.42
1000	6064171.42	6061746.99	6059390.72	6054238.00	6051060.98	6045010.89	6039929.39	6035038.56	6033982.46	6211150.79	6189615.31	6174461.61
10000	6025358.26	6023661.11	6023119.84	6020055.08	6019817.66	6018623.92	6015216.38	6012267.07	6011605.27	6180387.53	6169167.86	6149212.74

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	48150.68	48474.83	47979.65	49165.74	48011.57	48963.95	49391.21	49499.70	48195.68	47773.26	49060.06	47578.84
10	47364.23	49348.57	47748.95	48055.71	48284.51	48849.93	50524.58	49952.55	48641.59	50636.76	46888.84	48706.22
100	46742.61	49310.67	51473.54	49852.30	48906.85	47047.88	49838.74	47725.07	48026.76	50194.92	47875.20	49610.75
1000	48822.97	47761.22	47969.03	48523.53	49650.36	48167.25	49879.21	48189.21	49424.80	50759.60	49002.11	50148.40
10000	47694.27	49456.41	49628.76	46661.00	49541.29	49058.19	49703.03	48427.72	49036.02	48825.18	48564.04	49934.08

Wilcoxon ranksum P-val for column compared to Swap
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	0.3672	0.3956	0.4368	0.3956	0.6120	0.5675	0.6887	0.8573	1.0000	0.8788	0.6887	0.4383
10	0.0806	0.1056	0.0529	0.0508	0.0447	0.0488	0.0606	0.1331	1.0000	0.0000	0.0003	0.0044
100	0.0000	0.0000	0.0000	0.0000	0.0001	0.0018	0.0426	0.5759	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0001	0.0004	0.0044	0.0134	0.1050	0.4397	0.8846	1.0000	0.0000	0.0000	0.0000
10000	0.0373	0.0688	0.0727	0.1741	0.2090	0.2382	0.4975	0.8485	1.0000	0.0000	0.0000	0.0000
