MEANS
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	1535423.33	1532661.55	1532993.31	1536398.82	1533428.71	1531760.69	1531497.67	1555845.63	1551132.59	1550105.98
1000	1500060.61	1493182.96	1489881.33	1498158.35	1494700.24	1490739.04	1487619.35	1531939.55	1524321.31	1525212.98
10000	1470888.14	1464440.80	1464138.90	1470111.92	1466695.47	1463730.84	1462561.20	1516334.98	1506109.31	1504865.86
100000	1457589.10	1456040.78	1457694.61	1457188.47	1456223.76	1454575.69	1461537.37	1514700.51	1505824.65	1493283.76
1000000	1453182.59	1451288.43	1453522.31	1452291.59	1451144.45	1451952.96	1461537.37	1514700.51	1505824.65	1485957.55
10000000	1449744.61	1449400.94	1452051.61	1448125.90	1449291.47	1451952.96	1461537.37	1514700.51	1505824.65	1481151.24

STDEVS
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	25768.74	25572.93	25288.15	24586.77	25435.03	27207.10	27081.63	27191.03	26086.39	27113.43
1000	26235.91	27027.96	25126.41	25667.46	26633.90	26534.54	26554.41	26706.95	26639.06	27336.10
10000	26536.04	25325.48	27015.54	27159.18	27700.13	26706.73	26984.03	27059.95	28005.61	27269.17
100000	25913.29	26610.88	26826.45	26317.33	26726.07	26768.65	26953.84	26761.21	27827.33	27310.45
1000000	25321.86	25933.91	26680.72	25742.19	26532.35	26384.29	26953.84	26761.21	27827.33	26783.77
10000000	25417.60	26345.80	26747.64	26949.95	26857.74	26384.29	26953.84	26761.21	27827.33	26901.26

Wilcoxon ranksum P-val for column compared to Swap
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.4078	0.7844	0.7171	0.2849	0.6570	0.7735	1.0000	0.0000	0.0005	0.0010
1000	0.0185	0.2601	0.6315	0.0564	0.1385	0.5202	1.0000	0.0000	0.0000	0.0000
10000	0.1091	0.7519	0.7954	0.1452	0.3958	0.8674	1.0000	0.0000	0.0000	0.0000
100000	0.4450	0.2483	0.4664	0.4241	0.3046	0.1736	1.0000	0.0000	0.0000	0.0000
1000000	0.0971	0.0455	0.1257	0.0663	0.0495	0.0739	1.0000	0.0000	0.0000	0.0000
10000000	0.0200	0.0207	0.0775	0.0128	0.0245	0.0739	1.0000	0.0000	0.0000	0.0004
