MEANS
Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	6343753.54	6339481.16	6338370.17	6336443.95	6336388.94	6332185.89	6328338.65	6377359.90	6372542.30	6371561.26
1000	6266906.49	6263461.56	6259710.63	6253804.62	6245740.08	6238334.52	6230030.17	6341438.68	6335937.01	6332648.45
10000	6184244.41	6179007.97	6171325.15	6164505.34	6151177.22	6140773.86	6125431.95	6289616.52	6272016.64	6270362.46
100000	6116532.82	6111451.83	6103767.42	6095870.02	6084180.35	6072942.66	6056385.55	6233060.90	6213660.24	6210847.16
1000000	6072528.95	6067490.88	6060085.87	6052872.42	6044212.37	6035826.34	6022438.56	6199950.84	6177422.73	6172146.73

STDEVS
Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	48991.83	49509.74	50190.33	51127.68	51051.90	53737.03	50754.77	49827.38	49550.81	48134.77
1000	49035.46	48000.76	48753.72	48051.11	50035.39	48343.44	48330.12	52986.52	49170.63	49630.03
10000	49698.08	50010.66	51079.38	49049.53	48441.33	50896.76	47912.78	46044.10	50822.44	50253.93
100000	48515.42	50000.01	48874.20	48866.88	50060.52	50019.73	49429.62	49522.69	48271.25	51144.36
1000000	49155.44	47123.40	49946.42	49157.34	48376.43	49245.54	48754.93	48767.37	47499.35	48790.10

Wilcoxon ranksum P-val for column compared to Swap
Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.0362	0.1660	0.2054	0.2969	0.2735	0.6330	1.0000	0.0000	0.0000	0.0000
1000	0.0000	0.0000	0.0000	0.0010	0.0502	0.2565	1.0000	0.0000	0.0000	0.0000
10000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0299	1.0000	0.0000	0.0000	0.0000
100000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0175	1.0000	0.0000	0.0000	0.0000
1000000	0.0000	0.0000	0.0000	0.0000	0.0022	0.0727	1.0000	0.0000	0.0000	0.0000
