MEANS
Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)	Swap	Insertion	Reversal	Scramble
100	6337430.29	6333936.57	6332232.36	6330870.64	6327477.04	6328338.65	6377359.90	6372542.30	6371561.26
1000	6243309.84	6241018.90	6236390.99	6233694.45	6230705.45	6230030.17	6341438.68	6335937.01	6332648.45
10000	6145030.31	6139208.48	6134399.44	6130690.51	6125141.39	6125431.95	6289616.52	6272016.64	6270362.46
100000	6074082.37	6069144.48	6065073.00	6061991.83	6059288.61	6056385.55	6233060.90	6213660.24	6210847.16
1000000	6036326.32	6031729.14	6029516.69	6027965.26	6024648.28	6022438.56	6199950.84	6177422.73	6172146.73

STDEVS
Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)	Swap	Insertion	Reversal	Scramble
100	49522.19	51906.32	52175.03	47549.30	53592.43	50754.77	49827.38	49550.81	48134.77
1000	49474.04	50433.36	50637.45	48085.27	49727.78	48330.12	52986.52	49170.63	49630.03
10000	48760.97	48195.13	48072.11	49832.01	49241.99	47912.78	46044.10	50822.44	50253.93
100000	48046.71	50717.22	48860.57	49153.58	47664.28	49429.62	49522.69	48271.25	51144.36
1000000	47665.95	48930.17	48342.72	47743.00	47823.08	48754.93	48767.37	47499.35	48790.10

Wilcoxon ranksum P-val for column compared to Swap
Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)	Swap	Insertion	Reversal	Scramble
100	0.2275	0.5295	0.5930	0.6561	0.9594	1.0000	0.0000	0.0000	0.0000
1000	0.0723	0.1592	0.4545	0.5981	0.9812	1.0000	0.0000	0.0000	0.0000
10000	0.0057	0.0413	0.1698	0.4486	0.9931	1.0000	0.0000	0.0000	0.0000
100000	0.0094	0.0797	0.1615	0.3133	0.5575	1.0000	0.0000	0.0000	0.0000
1000000	0.0517	0.1312	0.2969	0.3659	0.7774	1.0000	0.0000	0.0000	0.0000
