MEANS
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	1547423.61	1542842.39	1541174.45	1545411.73	1544224.14	1542824.84	1541303.51	1559132.10	1557264.86	1557069.80
1000	1519216.02	1511391.47	1506882.98	1514987.29	1513035.88	1509010.78	1505071.47	1543041.10	1538571.18	1538909.29
10000	1488600.08	1481130.16	1476333.27	1486756.24	1484048.41	1480384.31	1474170.10	1523943.73	1518053.12	1516300.78
100000	1468576.55	1460409.16	1459133.00	1466721.78	1462783.80	1461583.55	1456380.59	1509350.47	1500763.59	1499614.73
1000000	1454768.20	1450575.39	1449099.35	1455176.92	1453613.41	1449394.12	1449278.22	1497851.94	1491835.78	1487868.98
10000000	1445069.86	1442886.02	1440805.37	1443489.45	1443104.80	1442035.65	1439605.45	1487626.84	1481909.12	1476973.59

STDEVS
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	25564.45	26139.47	26748.25	25445.79	25960.28	27240.17	26259.56	25917.16	25880.90	26740.25
1000	27119.10	26931.08	27290.38	26547.30	26160.18	27193.62	26503.82	25939.72	27015.11	26786.19
10000	26415.67	25991.27	26667.42	26449.25	26164.64	27293.26	26320.45	26701.87	25727.17	26346.35
100000	27214.23	26916.15	26408.06	26233.12	25952.08	26922.46	27487.89	26757.85	27835.87	25954.49
1000000	26850.73	26267.30	26160.07	26578.26	26844.09	25960.55	26149.60	26093.55	26859.64	26123.93
10000000	26412.33	26225.87	26241.35	25372.82	26299.20	25684.98	25733.02	25937.29	26715.74	25950.93

Wilcoxon ranksum P-val for column compared to Swap
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.2396	0.7304	0.9745	0.3998	0.5625	0.8898	1.0000	0.0013	0.0025	0.0048
1000	0.0159	0.2483	0.6366	0.0836	0.1462	0.4752	1.0000	0.0000	0.0000	0.0000
10000	0.0147	0.1875	0.6673	0.0250	0.0695	0.2257	1.0000	0.0000	0.0000	0.0000
100000	0.0305	0.4535	0.5770	0.0478	0.2881	0.2946	1.0000	0.0000	0.0000	0.0000
1000000	0.2946	0.7735	0.9462	0.2411	0.4708	0.9632	1.0000	0.0000	0.0000	0.0000
10000000	0.2914	0.4929	0.7681	0.4578	0.5110	0.6214	1.0000	0.0000	0.0000	0.0000
