MEANS
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	33894.53	33857.61	33284.80	33589.12	33236.51	33420.98	33009.73	33379.53	33760.96	38510.61
1000	21263.53	19459.71	18321.43	20546.14	19802.94	19041.67	17728.59	16880.43	13357.41	28653.71
10000	13160.51	11521.18	10955.73	12725.02	11887.67	11249.39	10503.29	9678.63	5302.43	19405.39
100000	8997.57	8683.73	8760.78	8789.53	8655.57	8379.88	9102.27	7795.82	3914.49	15005.67
1000000	7569.00	7485.37	7664.47	7439.61	7271.61	7088.45	9102.27	7791.37	3914.49	12461.51
10000000	6641.86	6639.86	6722.59	6570.39	6397.16	6731.35	9102.27	7791.37	3914.49	10832.67

STDEVS
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	2031.67	1955.32	1751.40	2255.24	2067.04	1755.98	1665.91	1871.92	1875.16	1744.43
1000	1073.73	1254.35	988.91	1183.85	1155.71	1030.28	985.14	1136.79	1163.17	1569.82
10000	811.80	656.22	662.49	710.60	820.18	865.26	709.46	747.62	362.25	1242.60
100000	683.80	654.67	603.23	674.49	673.01	619.33	595.68	740.76	333.47	1121.74
1000000	480.62	515.35	595.77	574.78	534.00	479.69	595.68	738.94	333.47	997.58
10000000	555.81	502.04	486.63	484.44	445.38	532.65	595.68	738.94	333.47	990.63

Wilcoxon ranksum P-val for column compared to Swap
Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.0207	0.0537	0.4159	0.2203	0.5649	0.3501	1.0000	0.3029	0.0573	0.0000
1000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	1.0000	0.0003	0.0000	0.0000
10000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
100000	0.3841	0.0015	0.0077	0.0316	0.0011	0.0000	1.0000	0.0000	0.0000	0.0000
1000000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10000000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
