MEANS
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	37545.08	35900.90	35112.02	35810.63	35601.14	35258.67	35336.16	35554.67	34968.08	40658.63
1000	27053.20	24997.49	23388.24	26015.20	25427.31	24371.39	22978.24	21603.02	18762.22	33614.63
10000	17494.55	15621.18	14314.31	17137.29	16141.59	15131.02	13665.63	12143.10	8070.90	24387.35
100000	12463.10	10863.47	9968.96	12170.53	11345.78	10490.43	9458.22	8274.24	4287.00	17640.49
1000000	9576.14	8529.57	8096.45	9474.02	9016.80	8475.45	7830.86	6449.14	3299.41	13527.00
10000000	7750.10	7270.31	7032.78	7735.31	7469.71	7177.33	6913.02	5437.90	2872.08	10744.86

STDEVS
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	2184.89	2448.21	2039.22	2140.45	2257.04	2261.80	2508.56	2238.05	2638.88	1772.14
1000	1527.05	1415.89	1199.28	1519.80	1218.35	1397.92	1575.62	1622.72	1362.18	1507.41
10000	1114.05	1083.71	887.53	1046.78	1120.76	844.38	692.08	859.24	519.45	1662.48
100000	783.21	712.38	710.19	839.80	747.23	695.47	621.17	653.25	387.48	1230.83
1000000	546.49	580.79	580.64	579.45	520.80	549.57	488.30	429.91	259.08	1141.39
10000000	387.38	280.63	349.76	425.75	370.40	366.55	376.69	372.68	215.22	702.63

Wilcoxon ranksum P-val for column compared to Swap
Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
100	0.0000	0.1670	0.8451	0.1605	0.2946	0.8786	1.0000	0.5065	0.9151	0.0000
1000	0.0000	0.0000	0.0811	0.0000	0.0000	0.0000	1.0000	0.0001	0.0000	0.0000
10000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
100000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
1000000	0.0000	0.0000	0.0123	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10000000	0.0000	0.0000	0.0455	0.0000	0.0000	0.0013	1.0000	0.0000	0.0000	0.0000
