MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6370565.22	6371439.44	6369027.89	6370229.33	6367629.89	6368897.78	6368222.44	6368104.22	6376730.89	6365009.33	6366782.44	6367125.44
10	6295021.33	6297852.33	6292488.89	6292307.78	6285743.00	6292408.44	6292746.00	6293747.89	6304266.11	6330763.22	6324557.00	6321651.00
100	6190226.33	6178333.33	6178233.11	6170994.00	6163723.44	6155569.33	6149133.33	6137726.56	6124036.67	6272215.22	6257121.11	6255024.44
1000	6105946.67	6101673.44	6096153.56	6091405.89	6087403.22	6075743.44	6062826.11	6057676.44	6044195.78	6220221.44	6201063.33	6196493.11

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	48961.57	48575.59	44636.31	50581.47	50466.68	49093.08	50644.29	45093.80	44461.85	48847.80	47045.71	48034.46
10	47680.05	53028.44	47885.56	52816.27	49612.60	48984.53	54983.24	48286.31	46773.96	47830.03	51509.67	46405.66
100	44619.06	48998.63	43956.79	44426.76	49292.68	37444.79	45156.11	43462.08	46708.84	46602.60	46642.06	50775.86
1000	44560.73	45192.17	41629.09	47689.25	43562.64	42758.19	47532.78	44088.86	46518.51	44051.80	41867.72	49765.27
