MEANS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	6373597.22	6371526.00	6369641.33	6372078.78	6380052.11	6377732.11	6376738.56	6376942.44	6378120.56	6370088.33	6374816.89	6377356.78
10	6326299.67	6325608.67	6323781.22	6322853.56	6325436.67	6329856.78	6329655.00	6328971.44	6328696.78	6343270.44	6348942.44	6346585.33
100	6244662.33	6243157.44	6240256.33	6238771.22	6224579.56	6219195.89	6216088.44	6203609.89	6192664.33	6300543.11	6311063.67	6301104.78
1000	6172038.67	6163938.56	6152095.22	6147331.56	6141445.33	6144040.44	6130126.89	6118708.78	6105830.44	6244706.44	6244614.11	6238288.33

STDEVS
Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	43174.60	46593.76	47864.18	43789.11	46461.24	47313.26	45859.29	50721.00	45402.16	44094.11	48239.10	44781.54
10	43049.15	47090.33	46952.85	43565.57	46644.02	48488.34	47630.12	51952.56	45809.64	50284.31	47568.07	48226.91
100	46294.21	45224.74	49809.00	52092.58	42477.90	39544.29	43527.98	50818.07	47669.35	45682.89	50841.56	53948.47
1000	36345.64	51373.42	43601.34	48729.21	51267.32	48695.77	51332.77	50771.71	50657.41	42775.71	55075.19	50308.84
