Instance	Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	32152	30812	33797	32625	32777	36521	34430	36048	36038	38722
1	1000	21897	18344	18630	21147	18639	19983	17409	17920	14528	32028
1	10000	13340	12279	10219	11899	12912	10532	10423	9912	5535	20455
1	100000	9434	9106	9599	9267	9891	9415	10010	8451	3451	15693
1	1000000	8135	7982	8284	8232	7715	8621	10010	8451	3451	12186
1	10000000	6901	6884	7114	7362	6724	7143	10010	8451	3451	10179
2	100	32852	32427	29724	37306	35268	32973	33432	34079	38054	37604
2	1000	19942	18891	17830	20641	21205	19660	19131	18455	14053	27491
2	10000	13114	10828	10832	12629	11126	11422	10824	9633	6702	19855
2	100000	8942	8722	9180	7548	9259	9776	9495	7469	4476	16382
2	1000000	7753	7720	8841	7403	8166	7720	9495	7469	4476	11824
2	10000000	6914	7720	7612	7357	5954	7720	9495	7469	4476	10909
3	100	35995	34080	32940	29332	31493	33048	31937	29705	33060	38287
3	1000	20389	19406	18869	19949	17941	18669	19918	16694	13023	26361
3	10000	13286	11161	11668	12725	12678	11010	10826	8765	5078	16850
3	100000	9590	8404	9431	8724	8780	7899	9636	7158	4119	14325
3	1000000	7963	7412	8630	7101	7124	6430	9636	7158	4119	12079
3	10000000	6884	6698	6738	6238	6150	6082	9636	7158	4119	9845
4	100	36731	33035	34240	32556	32092	34191	33204	34021	35802	39191
4	1000	21969	18727	18796	20485	19848	19399	18289	15479	17330	27827
4	10000	14093	12953	11245	13674	13750	11843	10493	10423	5442	18576
4	100000	8853	8798	8992	7849	8688	8805	9708	8216	4240	15108
4	1000000	7709	7703	6975	7524	7550	7355	9708	8216	4240	12802
4	10000000	6153	6465	5682	6401	6562	6064	9708	8216	4240	10441
5	100	34656	35477	33644	36516	32983	34900	34939	31605	33419	43336
5	1000	21837	21907	18450	20395	18864	19914	18838	15895	13377	30846
5	10000	13841	11761	10823	12571	13248	12133	10545	9543	5234	21602
5	100000	9326	8886	8969	9227	9484	9465	9428	8818	4316	16451
5	1000000	7946	8568	8652	8793	7878	7029	9428	8818	4316	12657
5	10000000	6763	7831	7107	6795	6327	6942	9428	8818	4316	11548
6	100	32430	33346	29212	34283	35236	36157	31744	33293	37216	37091
6	1000	23155	19372	19230	21536	22045	19851	19565	16875	14989	26853
6	10000	14303	11168	10712	12942	13338	11200	10450	10898	5279	18532
6	100000	9797	7982	8660	7588	9080	8511	9135	9884	3297	15566
6	1000000	7476	6732	7208	7053	7456	7392	9135	9884	3297	12600
6	10000000	6219	6359	7208	7002	7304	7260	9135	9884	3297	11576
7	100	34057	34307	32968	31470	31935	33635	35038	32353	32918	40392
7	1000	21602	18388	17738	20388	19552	20170	18555	19206	13849	31910
7	10000	13573	12540	12167	13613	13085	10991	10170	10565	5340	20435
7	100000	9825	8204	7319	9738	9503	8490	9793	8405	3862	16418
7	1000000	7564	7177	6651	7786	7878	6654	9793	8405	3862	12994
7	10000000	6713	6531	6373	7103	6724	6448	9793	8405	3862	11699
8	100	36358	33663	32884	38536	35755	29317	34743	32312	35558	35480
8	1000	21545	21760	16971	21746	20718	19239	15117	16711	13313	28528
8	10000	11876	11908	10063	13467	11953	12283	10366	9334	5403	19544
8	100000	8900	8630	9156	8626	8959	8906	9306	7534	4075	14694
8	1000000	7514	7486	7259	8134	7279	7013	9306	7534	4075	12757
8	10000000	6860	6657	6424	6648	6452	6887	9306	7534	4075	10943
9	100	33756	36645	31560	35040	29355	32249	33854	35199	33328	36848
9	1000	21963	19288	19793	20251	20095	20115	18510	18473	13745	29501
9	10000	13734	12063	10797	12826	12464	11683	12602	11339	5257	19613
9	100000	9256	8720	8491	9170	8909	9252	10007	7641	3907	16332
9	1000000	6814	7769	7758	7245	7595	7677	10007	7641	3907	13588
9	10000000	6346	6748	7346	6383	7037	7409	10007	7641	3907	10958
10	100	32822	31868	33045	33077	36293	31572	32684	32936	32508	38212
10	1000	19934	18863	18286	19560	20219	19408	17562	15846	12260	27786
10	10000	12511	11158	10322	13127	12399	10489	10109	8572	3958	19589
10	100000	8642	7923	8654	9392	9136	8454	8732	7109	3301	14534
10	1000000	7204	6667	7356	7045	7318	7438	8732	7109	3301	12216
10	10000000	6086	6565	6723	5468	5593	6641	8732	7109	3301	9886
11	100	32280	30356	31511	33656	35290	30875	32379	28231	30326	38680
11	1000	20045	20633	18216	22728	20114	17339	16114	15323	13655	30025
11	10000	13499	11467	10022	14340	11541	12332	9597	8894	5315	18642
11	100000	9044	8601	7775	9130	8746	8233	7965	7487	3282	14506
11	1000000	7867	7140	7467	7695	6977	7307	7965	7487	3282	11145
11	10000000	6806	6348	6382	6334	6642	7125	7965	7487	3282	10751
12	100	33092	36969	35380	32154	28412	35100	31416	33322	31732	36833
12	1000	20267	18022	17764	19182	20842	19548	16667	16338	13437	28334
12	10000	12273	11458	11458	13465	11057	11614	9937	9621	5248	20545
12	100000	8711	8455	9400	8403	7420	9012	8059	7789	3997	14942
12	1000000	7337	7168	8414	7060	6754	7223	8059	7789	3997	12884
12	10000000	5716	6324	6414	6309	5871	6423	8059	7789	3997	11018
13	100	36954	34673	33026	31222	30145	34515	33867	31701	29871	38113
13	1000	21852	17863	18423	19988	21492	20669	18358	15866	12404	27961
13	10000	13924	10680	10484	13207	10971	11253	11302	10632	5372	20647
13	100000	9921	9619	9015	8397	9437	7651	10350	8298	4548	14934
13	1000000	8067	8497	8671	7334	8398	6566	10350	8298	4548	12090
13	10000000	6942	6500	6501	6760	7121	6236	10350	8298	4548	10565
14	100	32675	31335	34280	32609	31209	33180	29992	34171	36084	37701
14	1000	20446	17836	16617	19573	19135	18114	17804	18157	12617	30064
14	10000	12440	11671	10657	11742	11952	11655	9845	9909	5114	20546
14	100000	7137	9497	8749	7981	8244	9011	8005	6905	3742	14690
14	1000000	6493	7406	7232	6957	6970	7362	8005	6905	3742	12258
14	10000000	6493	6391	6194	5992	6633	7320	8005	6905	3742	10878
15	100	36573	32100	33576	35005	33315	32936	32581	32664	33892	39474
15	1000	21314	21096	19192	21033	20957	19480	16478	18043	14063	30271
15	10000	13273	11151	11781	13228	11884	12309	10597	10479	5561	19640
15	100000	9270	10116	9238	9443	9040	8809	9345	9322	4454	16355
15	1000000	7270	7505	8334	7614	7373	7698	9345	9322	4454	14224
