Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1	100	37349	35816	38055	37293	32554	37323	33647	33108	38457	39893
1	1000	28565	27603	23713	26221	28066	25810	21596	20115	18699	35924
1	10000	18456	15743	13768	19160	17334	15565	13114	11814	8342	27582
1	100000	11914	11280	11365	11940	10310	11340	10215	8806	4232	17578
1	1000000	9344	8680	8533	9431	9797	9414	7613	6694	3178	13541
1	10000000	8009	7036	7561	7570	8249	7809	7103	5963	3141	9778
2	100	33184	35456	33057	36091	35181	33361	35322	35515	38495	43832
2	1000	25844	23646	23110	28084	24718	26759	24416	21884	16857	32537
2	10000	16617	16456	14567	17532	17102	14766	14052	13243	8204	22292
2	100000	12498	12170	11287	13004	12031	10907	9323	8691	5430	18051
2	1000000	9889	9282	8409	9755	9868	8778	8595	6179	3305	10965
2	10000000	8159	7584	6899	8179	7694	7146	7148	5612	3104	12076
3	100	31742	35296	35093	36114	33333	34013	36030	32549	30286	41176
3	1000	25585	26394	23524	28673	24947	24059	21437	21053	19733	32734
3	10000	15251	16141	15189	15400	18123	14995	12760	12038	8099	22578
3	100000	11396	10783	9788	13339	12273	10545	10368	8084	4434	18492
3	1000000	9449	8939	8608	10392	9242	9043	8175	6453	3308	12264
3	10000000	7935	7227	6551	8466	7398	6996	6986	5306	2800	10908
4	100	37681	33824	35334	36248	33912	35397	35299	38922	35176	38088
4	1000	27367	25469	26565	25654	23032	25180	23919	19899	20022	35702
4	10000	18064	16752	14286	18050	18301	16458	13794	12477	8797	27536
4	100000	12602	11563	8956	13850	12088	10557	9053	8321	4358	17200
4	1000000	9229	8318	7451	10018	9078	9524	7593	7460	3321	13904
4	10000000	7974	7163	6682	8224	7231	7015	6668	5426	2856	10501
5	100	40075	38187	38949	36948	35322	39944	40672	39391	36622	38377
5	1000	28249	25013	22453	24060	27682	22842	21345	20551	19601	36173
5	10000	17221	15161	15147	16892	15271	14800	13971	12105	8291	24241
5	100000	12839	11920	10872	12773	11211	11953	9217	9478	4993	17549
5	1000000	8894	8831	8719	9639	9727	8737	9014	6222	3247	12938
5	10000000	7735	7363	7620	7933	7586	7528	7457	5749	3155	11928
6	100	39321	35558	35751	36418	37858	37566	30944	32506	35805	39144
6	1000	29223	23897	23142	28176	26142	24563	22405	24863	18820	35228
6	10000	18212	15885	14915	17625	17768	14948	13231	12787	8162	23958
6	100000	12295	11324	9643	12048	12256	10259	9032	8176	4028	18668
6	1000000	9002	7427	8520	9562	9044	8758	8007	6410	3404	13166
6	10000000	7161	7329	7012	7386	7316	7371	7028	5379	2915	11205
7	100	37958	35373	31703	34422	37163	35639	34142	37071	33648	38282
7	1000	27903	25788	22894	27207	26040	25077	24461	24294	20257	34156
7	10000	18557	15756	15398	17506	17462	15533	14384	10904	7651	23044
7	100000	12113	11657	9509	12359	12429	10919	9460	8050	4517	19050
7	1000000	9380	9615	8574	9750	9358	7942	8251	5730	3374	13439
7	10000000	8151	7240	7130	8081	7776	7667	7431	5922	3015	11367
8	100	41309	39755	37540	32542	36903	36166	36408	35121	38589	38201
8	1000	26264	23203	22791	25054	24076	25725	22738	22109	19115	31167
8	10000	18569	15944	14538	17926	16164	14259	13858	12266	8325	24453
8	100000	11533	9526	8546	13893	11393	11790	8302	8531	4725	15358
8	1000000	10047	9604	8847	9866	8029	8259	8318	6224	3251	12546
8	10000000	8058	7390	6581	7859	8025	7533	6707	5540	3018	12057
9	100	38501	39939	39491	39582	36590	31659	33709	33202	36770	41719
9	1000	24787	23716	24364	28148	26272	25366	22151	22151	20810	32867
9	10000	18096	16316	14927	16588	15544	16775	13940	12391	8125	25274
9	100000	13033	11540	10595	12931	10069	10219	9223	8643	4607	18736
9	1000000	10441	9028	8573	9693	9422	9308	8231	6605	3730	14834
9	10000000	8072	7741	7211	7806	7604	7842	6789	5771	3179	11367
10	100	37428	36288	38183	36682	34729	37003	39889	37068	37416	40682
10	1000	29110	26204	24212	25187	26006	24468	23475	22501	17538	36507
10	10000	16284	15852	14379	16093	16460	14605	13319	11193	6411	25770
10	100000	11871	10061	9975	12028	11031	9100	9153	9117	3897	15472
10	1000000	8960	7648	7209	9108	8341	7688	7347	5873	2805	13013
10	10000000	7182	6907	5974	6995	6733	6826	6336	4608	2332	9771
11	100	37754	35751	34937	33744	31570	33135	40499	35292	28779	38224
11	1000	26653	23170	21399	24449	25030	25997	21067	21521	20075	31722
11	10000	17016	16430	13960	16724	14323	14133	13070	10979	7597	23713
11	100000	12277	10732	10775	11224	10781	9935	9437	8443	4376	17191
11	1000000	9779	8124	7970	9100	8759	8603	7115	6588	2920	14040
11	10000000	7344	6391	7120	7640	6999	7153	6920	5289	2722	10049
12	100	37833	39705	33661	35134	31063	35840	34627	35862	36381	43597
12	1000	27496	25733	23964	26405	25540	24318	22339	22388	17609	34270
12	10000	15176	15272	12929	17461	15313	15279	14042	11228	7915	27227
12	100000	11777	10385	9276	10423	11416	9953	9229	8377	4128	17580
12	1000000	8905	8367	7724	9680	9248	7445	8360	7422	3358	13413
12	10000000	7403	7303	6975	7450	7667	6691	6736	4753	2757	10704
13	100	40959	36191	33418	36954	37716	35078	39686	39814	35772	43258
13	1000	24769	24132	24228	26037	24063	21507	22496	20519	19836	34337
