Instance	Generations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)
1000	1	1172	1180	1186	1187	1168
1000	10	1091	1096	1098	1103	1103
1000	100	956	959	956	956	952
1000	1000	901	897	908	892	890
1001	1	1178	1179	1181	1179	1191
1001	10	1098	1109	1111	1104	1116
1001	100	957	973	967	954	940
1001	1000	902	910	913	912	889
1002	1	1182	1170	1176	1184	1186
1002	10	1103	1089	1108	1108	1120
1002	100	976	937	952	953	942
1002	1000	908	901	884	899	910
1003	1	1178	1176	1181	1175	1191
1003	10	1102	1103	1097	1091	1112
1003	100	962	950	951	941	943
1003	1000	913	864	915	906	899
1004	1	1177	1181	1182	1168	1182
1004	10	1105	1109	1089	1097	1107
1004	100	972	944	957	938	947
1004	1000	909	898	906	893	914
1005	1	1187	1174	1187	1187	1185
1005	10	1105	1101	1113	1111	1106
1005	100	961	948	946	961	945
1005	1000	899	904	917	917	881
1006	1	1169	1174	1186	1180	1190
1006	10	1102	1112	1110	1109	1121
1006	100	942	956	957	955	960
1006	1000	900	906	896	887	902
1007	1	1183	1181	1185	1186	1178
1007	10	1103	1112	1104	1113	1097
1007	100	944	938	949	956	947
1007	1000	908	887	903	902	921
1008	1	1193	1176	1186	1185	1178
1008	10	1106	1102	1113	1103	1107
1008	100	949	956	953	955	955
1008	1000	894	902	929	889	910
1009	1	1188	1184	1193	1182	1178
1009	10	1112	1104	1112	1105	1097
1009	100	961	963	948	960	945
1009	1000	914	893	884	923	898
