Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	1176	1187	1180	1182	1171	1190	1185	1179	1170	1186	1179	1176
1000	10	1102	1102	1102	1106	1109	1110	1093	1100	1092	1136	1124	1130
1000	100	986	1003	994	982	991	982	961	945	939	1072	1059	1076
1000	1000	917	939	936	913	927	916	915	887	877	1028	1015	1027
1001	1	1183	1179	1165	1185	1172	1175	1184	1178	1183	1186	1171	1178
1001	10	1099	1101	1100	1115	1094	1095	1113	1099	1114	1141	1124	1130
1001	100	1013	1011	1001	1003	989	975	973	967	943	1095	1068	1069
1001	1000	934	933	940	919	929	918	900	913	907	1044	1028	1013
1002	1	1181	1184	1186	1195	1184	1197	1187	1185	1182	1179	1181	1180
1002	10	1098	1116	1115	1108	1114	1120	1111	1118	1117	1139	1133	1131
1002	100	977	995	993	990	974	972	958	968	954	1082	1066	1064
1002	1000	932	933	922	921	917	916	917	894	891	1052	1028	1028
1003	1	1176	1193	1192	1174	1174	1185	1186	1181	1178	1187	1179	1190
1003	10	1109	1111	1116	1101	1107	1111	1105	1103	1107	1146	1144	1140
1003	100	1003	1009	1003	1004	978	988	978	952	948	1086	1084	1072
1003	1000	919	922	907	926	912	907	910	907	899	1061	1029	1025
1004	1	1176	1189	1183	1174	1188	1169	1191	1186	1180	1179	1180	1181
1004	10	1096	1099	1099	1096	1113	1109	1116	1117	1107	1119	1141	1125
1004	100	1013	993	987	988	982	978	970	956	941	1066	1050	1065
1004	1000	926	928	914	925	936	900	910	895	880	1047	1018	1021
1005	1	1185	1178	1181	1193	1172	1185	1181	1162	1190	1167	1180	1163
1005	10	1102	1117	1104	1107	1108	1106	1107	1088	1119	1130	1137	1115
1005	100	992	1008	983	986	984	966	966	964	958	1090	1077	1063
1005	1000	933	926	923	927	927	909	915	900	893	1055	1031	1018
1006	1	1187	1179	1182	1189	1189	1177	1181	1181	1196	1185	1175	1171
1006	10	1110	1124	1099	1104	1102	1091	1103	1103	1116	1136	1140	1122
1006	100	992	989	1001	995	978	969	983	967	948	1074	1055	1059
1006	1000	942	929	936	941	920	914	917	895	885	1056	1035	1018
1007	1	1184	1173	1184	1184	1141	1168	1174	1182	1184	1177	1179	1191
1007	10	1113	1093	1101	1093	1089	1098	1103	1102	1104	1144	1137	1137
1007	100	997	993	991	997	978	978	964	976	949	1075	1080	1074
1007	1000	931	922	924	919	907	915	925	909	903	1040	1022	1024
1008	1	1177	1190	1182	1178	1173	1184	1156	1187	1192	1181	1175	1175
1008	10	1098	1110	1108	1107	1111	1101	1100	1112	1106	1136	1124	1139
1008	100	993	999	984	983	976	972	983	957	944	1081	1069	1059
1008	1000	934	923	917	914	926	924	890	908	888	1031	1039	1019
1009	1	1188	1185	1179	1179	1185	1192	1191	1172	1192	1174	1186	1185
1009	10	1106	1114	1117	1097	1105	1116	1117	1105	1114	1155	1140	1140
1009	100	1002	998	997	982	988	985	977	965	942	1093	1055	1077
1009	1000	929	925	923	927	913	923	919	896	907	1061	1024	1035
