Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	6359898	6354279	6333107	6350826	6356593	6371282	6361471	6379701	6356381	6354310	6366834	6356834
1000	10	6286210	6280868	6259840	6282509	6281892	6293876	6288144	6295143	6291228	6324225	6303649	6321905
1000	100	6166294	6164897	6168386	6156624	6156159	6151693	6134105	6139057	6115515	6268023	6253988	6226150
1000	1000	6092231	6091865	6091487	6087012	6086843	6061880	6059317	6059278	6048545	6190650	6192779	6175740
1001	1	6286359	6287751	6294392	6284724	6285122	6281109	6279593	6286732	6299598	6277174	6286949	6281345
1001	10	6214899	6206314	6202946	6205459	6200463	6200278	6187247	6211401	6219741	6231658	6229421	6244237
1001	100	6105155	6089222	6090262	6098769	6082376	6080610	6064250	6062268	6033414	6192794	6185402	6161958
1001	1000	6028628	6015979	6016901	6007956	6016885	5993235	5988778	5976994	5964583	6136355	6127094	6105613
1002	1	6400720	6405390	6390938	6403779	6386062	6395137	6380317	6374438	6391196	6385176	6394925	6402630
1002	10	6324950	6330424	6313365	6332717	6313261	6309529	6307684	6308648	6328532	6359518	6353454	6356000
1002	100	6224578	6198120	6193631	6190694	6202083	6177248	6173358	6143679	6149632	6301208	6282517	6288123
1002	1000	6111683	6121179	6108105	6120071	6114788	6104891	6090932	6087363	6068729	6250028	6206871	6220310
1003	1	6327090	6325563	6326586	6318936	6313413	6320218	6329298	6318664	6333263	6329848	6318466	6313807
1003	10	6247049	6244082	6248970	6242549	6235826	6250747	6247767	6249826	6257837	6291604	6276707	6266460
1003	100	6151649	6126663	6139539	6126332	6111921	6125249	6102610	6092130	6094227	6216074	6217117	6203494
1003	1000	6051562	6052319	6064099	6064113	6039832	6032747	6001948	6013250	5993717	6169516	6173144	6152790
1004	1	6453576	6450703	6454780	6453671	6452486	6455124	6456254	6434616	6453273	6445570	6445839	6443609
1004	10	6376006	6385209	6367905	6381388	6367935	6378995	6382911	6373261	6383326	6393146	6403063	6398522
1004	100	6253238	6255671	6246757	6249419	6236533	6215550	6212064	6212003	6194137	6334063	6338573	6323758
1004	1000	6178190	6166573	6165233	6174481	6147908	6140749	6140581	6125865	6114671	6275641	6280027	6275483
1005	1	6400695	6403264	6383640	6398485	6411489	6380708	6400826	6414821	6406538	6416528	6381213	6392606
1005	10	6331352	6329883	6326356	6326657	6325103	6311621	6316387	6334604	6335067	6374250	6357183	6341185
1005	100	6212211	6212730	6206884	6195488	6203732	6177426	6177911	6162035	6152572	6311287	6293824	6294462
1005	1000	6136817	6136379	6128321	6119491	6133868	6097629	6096968	6087589	6082383	6236668	6232139	6230578
1006	1	6341453	6342436	6352410	6335988	6338898	6350376	6355810	6354380	6361700	6349454	6339866	6351577
1006	10	6271629	6269223	6267558	6256617	6262241	6274019	6274784	6264161	6290660	6320778	6292795	6306209
1006	100	6165467	6172107	6170202	6148718	6138713	6152022	6129321	6125064	6094381	6243657	6217982	6219503
1006	1000	6094366	6086202	6085104	6063146	6057274	6064050	6038032	6047252	6014423	6202993	6185556	6163927
1007	1	6379876	6377555	6374177	6380031	6366340	6382307	6375265	6373685	6368641	6355358	6379450	6382957
1007	10	6295216	6305419	6300327	6293999	6281785	6307708	6304109	6299504	6307645	6332611	6344159	6337913
1007	100	6213481	6189836	6196113	6179749	6155856	6155549	6164364	6145687	6134185	6292487	6261090	6266694
1007	1000	6113739	6117979	6097481	6083185	6088464	6086491	6068319	6075017	6055770	6251302	6206285	6197170
1008	1	6389185	6389535	6382115	6389244	6385941	6389146	6399831	6386400	6403445	6374018	6395163	6369294
1008	10	6305309	6321288	6314300	6306876	6302651	6307845	6332084	6320009	6317613	6345718	6344675	6332532
1008	100	6207219	6201080	6186469	6195346	6193128	6165533	6178424	6167655	6152668	6293306	6274288	6277733
1008	1000	6129134	6117683	6115091	6118341	6107683	6088333	6078249	6062526	6063238	6240822	6210697	6201888
1009	1	6356133	6360758	6362213	6367206	6368918	6365955	6336808	6369202	6372924	6351958	6359171	6366304
1009	10	6288782	6288829	6290673	6284508	6282422	6290934	6281741	6282317	6297974	6327586	6319556	6311801
1009	100	6179039	6159571	6174241	6154431	6149169	6150937	6139898	6129018	6111114	6265061	6243297	6259495
1009	1000	6109401	6100768	6085047	6071869	6079927	6073566	6061628	6043232	6040248	6218668	6187757	6220679
