Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
1000	1	6343365	6345861	6353529	6356692	6364185	6369338	6352307	6376704	6353406	6347840	6352471	6356518
1000	10	6283664	6279589	6269705	6270881	6280786	6274618	6275262	6297287	6275096	6313765	6320385	6301018
1000	100	6170542	6153923	6176775	6149234	6158104	6153327	6135893	6122865	6112150	6249044	6217596	6220004
1000	1000	6095821	6082154	6091782	6078116	6069261	6060791	6048772	6063110	6028250	6202438	6168866	6173262
1001	1	6283127	6263981	6277742	6280576	6263926	6289807	6285014	6300377	6290492	6274338	6277226	6296543
1001	10	6200484	6198966	6198872	6205245	6177499	6198709	6203817	6219334	6211758	6252633	6229888	6234636
1001	100	6092945	6094734	6096834	6078958	6063519	6078914	6061874	6031830	6048803	6187483	6160008	6164664
1001	1000	6036312	5997745	6012879	6017105	5988605	5975333	5981836	5972216	5955773	6104029	6102542	6124797
1002	1	6388549	6389369	6392858	6401925	6402455	6397605	6403418	6395548	6407835	6401145	6404125	6396543
1002	10	6323355	6306313	6321496	6314735	6316832	6320997	6322259	6321388	6335559	6347273	6341922	6335093
1002	100	6202202	6198116	6197882	6198804	6178915	6183720	6154257	6156197	6150280	6275052	6265337	6265149
1002	1000	6136700	6112184	6131528	6103413	6081798	6098554	6062580	6066025	6073602	6226941	6212450	6223675
1003	1	6315331	6325684	6311932	6307777	6313062	6340688	6327502	6338609	6328540	6321836	6338790	6302574
1003	10	6238124	6244241	6230965	6236562	6241481	6250414	6250055	6257995	6257058	6278220	6284634	6257793
1003	100	6127199	6133237	6096104	6108210	6099666	6102732	6102495	6088264	6070045	6214602	6194356	6197817
1003	1000	6050209	6055006	6042363	6030970	6022321	6034175	6016578	6010919	6013328	6164730	6166073	6135628
1004	1	6457786	6444332	6441661	6452810	6439680	6454207	6443069	6441424	6452944	6449967	6443901	6453004
1004	10	6368885	6371797	6366849	6366920	6367883	6368882	6370908	6359318	6367551	6390400	6396996	6404726
1004	100	6250967	6242577	6223193	6247430	6229052	6200325	6214158	6206085	6186735	6308888	6312783	6338415
1004	1000	6181085	6162983	6150040	6167734	6167844	6149138	6137759	6109974	6119032	6274835	6253053	6292692
1005	1	6409865	6396673	6392647	6401782	6400308	6398540	6397109	6403994	6415687	6407391	6398667	6403395
1005	10	6331783	6316105	6327166	6330464	6316922	6317519	6324401	6323096	6331587	6363307	6367741	6337997
1005	100	6211688	6200554	6202145	6195321	6188613	6171714	6156580	6174602	6144025	6297570	6280252	6260367
1005	1000	6114811	6118973	6115480	6120227	6091441	6096235	6084888	6076448	6068405	6257906	6216271	6184181
1006	1	6338097	6347855	6345330	6347711	6356144	6336044	6357055	6330012	6356373	6358845	6346368	6359619
1006	10	6256995	6267800	6252298	6267802	6267596	6259874	6272785	6246843	6283220	6307861	6285958	6304596
1006	100	6138732	6155495	6155199	6147744	6122658	6111293	6131724	6107410	6096979	6244540	6229373	6217579
1006	1000	6070575	6066609	6079098	6075148	6066240	6044639	6031730	6026945	6019725	6192990	6169855	6169765
1007	1	6384352	6370299	6370863	6384060	6379386	6364930	6370562	6381805	6383808	6365375	6385360	6378850
1007	10	6309138	6306407	6286031	6306080	6300480	6291591	6300624	6311533	6311755	6329033	6350779	6323815
1007	100	6184628	6183119	6160585	6178207	6146800	6147184	6150271	6137993	6114220	6274942	6259113	6245552
1007	1000	6118071	6114368	6099365	6099671	6092191	6085598	6066198	6057567	6043074	6226535	6188336	6192797
1008	1	6392552	6385670	6385688	6391779	6399584	6394448	6396356	6395214	6380798	6395717	6382160	6383367
1008	10	6314829	6315052	6299723	6314745	6312439	6318626	6318445	6305593	6301842	6361348	6338532	6339504
1008	100	6186027	6203995	6193060	6175260	6164941	6174323	6160403	6139705	6135822	6294339	6282021	6268742
1008	1000	6123993	6118454	6102834	6098531	6095696	6107701	6071239	6079389	6074619	6218493	6216743	6218707
1009	1	6365966	6354681	6356602	6342932	6365734	6369892	6361576	6365278	6358537	6378335	6354253	6349610
1009	10	6288057	6276258	6286260	6269704	6293627	6283087	6288641	6289781	6294097	6324670	6319302	6313644
1009	100	6170646	6175676	6176368	6154230	6151656	6153739	6143600	6144335	6096938	6272269	6230910	6239225
1009	1000	6098661	6090033	6087317	6088347	6074524	6081286	6066290	6029793	6019649	6204101	6183855	6179361
